time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
8,21.191408,22.08,2005,800,17680,1.8735220432281494,-7.5892558097839355,383,-0.19143415987491608,0.0001,0.9624669551849365
9,18.857824,20.77,1984,810,17900,1.08124840259552,-7.574122428894043,394,-0.19877813756465912,0.0001,0.9614102244377136
9,21.11985,21.76,1959,820,18120,1.6658198833465576,-7.915901184082031,405,-0.2051725685596466,0.0001,0.9603551030158997
9,21.20369,21.73,1944,830,18320,1.0140354633331299,-7.966702461242676,415,-0.20868103206157684,0.0001,0.9593965411186218
9,22.398142,23.03,1929,840,18560,1.4179985523223877,-7.9553399085998535,427,-0.213496595621109,0.0001,0.9582474827766418
9,22.597456,23.29,1917,850,18780,1.004459261894226,-8.05402946472168,438,-0.21946369111537933,0.0001,0.9571973085403442
10,22.010788,23.22,1901,860,19020,1.7256977558135986,-8.264751434326172,450,-0.22503933310508728,0.0001,0.9560534358024597
10,21.742962,23.12,1891,870,19240,1.1722866296768188,-8.263075828552246,461,-0.23153692483901978,0.0001,0.9550044536590576
10,20.541607,22.72,1885,880,19600,1.6193828582763672,-8.521930694580078,479,-0.23911547660827637,0.0001,0.9532921314239502
10,21.910828,23.78,1875,890,19900,0.8973247408866882,-8.784337997436523,494,-0.24824759364128113,0.0001,0.9518686532974243
10,23.732605,25.1,1862,900,20200,2.249147891998291,-8.735541343688965,509,-0.25357016921043396,0.0001,0.9504475593566895
11,25.713022,26.29,1852,910,20440,1.5544559955596924,-8.871456146240234,521,-0.2611355781555176,0.0001,0.9493126273155212
11,22.773872,24.88,1841,920,20760,1.0860074758529663,-9.22591495513916,537,-0.26873502135276794,0.0001,0.9478003978729248
11,26.37815,26.9,1830,930,21060,2.704047679901123,-9.155383110046387,552,-0.2725614309310913,0.0001,0.9463853240013123
11,25.769089,26.64,1816,940,21440,1.7917685508728027,-9.381661415100098,571,-0.2869877815246582,0.0001,0.9446024894714355
12,28.45272,28.21,1804,950,21800,1.6476004123687744,-9.717374801635742,589,-0.2967798113822937,0.0001,0.9429166913032532
12,31.45743,29.7,1789,960,22000,1.1243562698364258,-9.77174186706543,599,-0.29840898513793945,0.0001,0.941982090473175
12,32.918278,30.92,1772,970,22500,1.6156375408172607,-9.92807388305664,624,-0.3084210753440857,0.0001,0.9396514296531677
12,34.149014,31.75,1764,980,22800,2.1710386276245117,-10.389392852783203,639,-0.3161306381225586,0.0001,0.9382593035697937
13,33.99294,31.63,1755,990,23100,1.4011139869689941,-10.475091934204102,654,-0.32685792446136475,0.0001,0.9368700385093689
