time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/episodes,time/total_timesteps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef
23,47.05716,38.83,1120,1100,26640,4.053055763244629,-12.236987113952637,831,-0.4052655100822449,0.0001,0.9207491278648376
24,49.551445,39.2,1124,1110,27140,3.2048327922821045,-12.425287246704102,856,-0.4061952829360962,0.0001,0.9185022115707397
24,50.567184,39.8,1127,1120,27500,2.2238564491271973,-12.235664367675781,874,-0.40968838334083557,0.0001,0.9168993234634399
24,48.561333,39.8,1131,1130,27920,1.017585039138794,-12.841974258422852,895,-0.4276483952999115,0.0001,0.915029764175415
25,45.69905,38.77,1134,1140,28440,2.2436108589172363,-12.996811866760254,921,-0.44193506240844727,0.0001,0.9127244353294373
25,48.75269,41.14,1136,1150,28860,1.2680563926696777,-13.363243103027344,942,-0.44860929250717163,0.0001,0.9108603596687317
25,50.140957,41.45,1140,1160,29300,1.5966179370880127,-13.626245498657227,964,-0.4559597969055176,0.0001,0.9089167714118958
25,53.67523,41.97,1143,1170,29720,4.589603900909424,-13.779909133911133,985,-0.4715915024280548,0.0001,0.9070715308189392
28,56.163464,43.08,1075,1180,30380,4.155780792236328,-13.943592071533203,1018,-0.4839856028556824,0.0001,0.9041784405708313
28,54.81382,43.59,1079,1190,30840,4.321197509765625,-14.595346450805664,1041,-0.4948478937149048,0.0001,0.9021666049957275
28,61.120495,45.81,1083,1200,31340,1.522841215133667,-14.634740829467773,1066,-0.5140626430511475,0.0001,0.899986207485199
29,59.333584,45.5,1087,1210,31780,2.7383182048797607,-15.318471908569336,1088,-0.5175972580909729,0.0001,0.8980681300163269
29,61.121914,46.25,1089,1220,32140,6.718824863433838,-15.302492141723633,1106,-0.5093560814857483,0.0001,0.8965073823928833
29,63.98319,46.98,1093,1230,32680,5.278063774108887,-15.683600425720215,1133,-0.528666079044342,0.0001,0.8941757678985596
30,66.06052,48.39,1097,1240,33240,1.943889856338501,-16.254779815673828,1161,-0.5486003756523132,0.0001,0.8917694687843323
30,65.58634,48.24,1101,1250,33740,5.685480117797852,-15.865832328796387,1186,-0.5517151951789856,0.0001,0.8896153569221497
31,64.644424,48.35,1105,1260,34360,5.516829967498779,-15.872289657592773,1217,-0.5564003586769104,0.0001,0.8869596719741821
31,64.3717,47.62,1107,1270,34660,1.6721999645233154,-16.567956924438477,1232,-0.5700514912605286,0.0001,0.8856825828552246
31,65.39524,48.24,1110,1280,35200,5.5941057205200195,-16.79053497314453,1259,-0.5751954317092896,0.0001,0.8833863735198975
32,65.88602,47.56,1115,1290,35840,2.6664466857910156,-17.23321533203125,1291,-0.5954591035842896,0.0001,0.8806597590446472
32,66.192474,48.94,1120,1300,36420,4.992544174194336,-17.686939239501953,1320,-0.6066766977310181,0.0001,0.8782046437263489
33,66.36987,50.12,1123,1310,37080,3.77286958694458,-18.045578002929688,1353,-0.6250195503234863,0.0001,0.875434398651123
33,69.20934,51.51,1125,1320,37400,4.1953887939453125,-18.18923568725586,1369,-0.6216127872467041,0.0001,0.8740826845169067
33,71.84082,53.0,1129,1330,37920,3.4318690299987793,-18.213909149169922,1395,-0.6273387670516968,0.0001,0.8719073534011841
33,72.83861,52.28,1132,1340,38260,9.689970970153809,-18.46527099609375,1412,-0.6286714673042297,0.0001,0.8704896569252014
34,72.50075,51.13,1135,1350,38740,10.66566276550293,-18.61669921875,1436,-0.6556946635246277,0.0001,0.8684868812561035
34,73.35603,50.38,1140,1360,39480,5.418737411499023,-19.612247467041016,1473,-0.6636261940002441,0.0001,0.8654179573059082
36,75.78604,52.51,1095,1370,40060,5.386044502258301,-20.12806510925293,1502,-0.6778846383094788,0.0001,0.8630098700523376
37,78.38628,53.75,1098,1380,40660,4.662199974060059,-20.546476364135742,1532,-0.6952553987503052,0.0001,0.8605329990386963
37,80.520515,54.93,1102,1390,41280,4.759499549865723,-20.08060073852539,1563,-0.7156735062599182,0.0001,0.8579737544059753
37,83.436905,55.45,1105,1400,41740,9.738025665283203,-20.64173126220703,1586,-0.7116519212722778,0.0001,0.8560769557952881
38,86.20075,55.16,1109,1410,42280,9.737811088562012,-21.091278076171875,1613,-0.7115869522094727,0.0001,0.8538543581962585
38,88.07557,54.93,1112,1420,42780,3.0510196685791016,-21.747621536254883,1638,-0.7473326921463013,0.0001,0.8518125414848328
38,88.03031,53.36,1115,1430,43440,6.2281413078308105,-21.876829147338867,1671,-0.741647481918335,0.0001,0.8491240739822388
39,93.62515,55.3,1118,1440,44140,4.230602264404297,-22.158103942871094,1706,-0.7558643817901611,0.0001,0.8462924361228943
39,96.76871,56.28,1122,1450,44700,4.711139678955078,-22.834434509277344,1734,-0.7655746936798096,0.0001,0.8440293073654175
40,100.58286,58.08,1124,1460,45140,2.523258686065674,-23.473709106445312,1756,-0.7918307185173035,0.0001,0.8422642350196838
40,102.20703,58.3,1129,1470,45820,5.36822509765625,-23.095909118652344,1790,-0.7942835092544556,0.0001,0.8395393490791321
41,107.11734,59.22,1133,1480,46600,10.56623363494873,-24.331928253173828,1829,-0.7997629642486572,0.0001,0.836418628692627
41,110.85791,60.05,1136,1490,47200,7.2391252517700195,-24.510040283203125,1859,-0.8256978988647461,0.0001,0.834027111530304
41,112.80351,59.85,1139,1500,47740,7.772490501403809,-24.67797088623047,1886,-0.8522850275039673,0.0001,0.831881582736969
42,115.406624,60.5,1143,1510,48480,9.640296936035156,-24.85694122314453,1923,-0.8327388167381287,0.0001,0.8289633393287659
42,118.804596,61.88,1144,1520,49180,8.636977195739746,-25.528629302978516,1958,-0.853858470916748,0.0001,0.826209306716919
