time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/critic_loss,train/actor_loss,train/n_updates
1605,10,16400,31.24,31.729582,670,0.7544763684272766,-1.4065457582473755,0.0008858667904100823,0.4129827618598938,-6.68226432800293,319
1593,10,16580,32.0,33.105377,680,0.7485113739967346,-1.4433374404907227,0.0008858667904100823,0.5298307538032532,-6.669806480407715,328
1563,10,17140,31.24,32.59852,690,0.7302725911140442,-1.586016297340393,0.0008858667904100823,0.4349908232688904,-7.076167106628418,356
1544,11,17500,31.34,33.25465,700,0.7187802195549011,-1.6660078763961792,0.0008858667904100823,0.7302109003067017,-7.184734344482422,374
1510,11,18100,33.74,36.83204,710,0.7000412940979004,-1.7781805992126465,0.0008858667904100823,0.6018803119659424,-7.43801736831665,404
1483,12,18500,35.45,39.59146,720,0.6878362894058228,-1.8552179336547852,0.0008858667904100823,0.48197707533836365,-7.328402519226074,424
1460,13,19040,39.06,43.483105,730,0.6717474460601807,-1.9683096408843994,0.0008858667904100823,0.7007920145988464,-7.795576095581055,451
1435,13,19660,39.81,43.61593,740,0.6537622213363647,-2.1115517616271973,0.0008858667904100823,0.45049428939819336,-7.662459373474121,482
1411,14,20260,41.39,45.36879,750,0.6368532180786133,-2.209679126739502,0.0008858667904100823,0.38766753673553467,-7.926274299621582,512
1387,15,20880,44.99,52.974277,760,0.6198833584785461,-2.3602495193481445,0.0008858667904100823,1.0119702816009521,-7.739340305328369,543
1363,15,21420,46.81,54.7027,770,0.6055004596710205,-2.468761444091797,0.0008858667904100823,1.4286348819732666,-8.644027709960938,570
1345,16,21960,50.64,58.760014,780,0.5914451479911804,-2.5895748138427734,0.0008858667904100823,0.9179531335830688,-8.301956176757812,597
1331,16,22580,54.08,63.328888,790,0.5757741928100586,-2.6370487213134766,0.0008858667904100823,0.6081525683403015,-8.624921798706055,628
1310,17,23420,56.06,66.492966,800,0.5553255081176758,-2.8422107696533203,0.0008858667904100823,0.8587994575500488,-9.13308334350586,670
1295,18,23960,59.93,70.55239,810,0.5426087975502014,-2.9607608318328857,0.0008858667904100823,0.6634966731071472,-9.561370849609375,697
1280,19,24480,61.31,72.85791,820,0.5306574702262878,-3.0696370601654053,0.0008858667904100823,0.6029307246208191,-9.459955215454102,723
1258,20,25400,61.76,74.47737,830,0.5102505683898926,-3.123769998550415,0.0008858667904100823,0.6922308802604675,-10.234639167785645,769
1250,20,25900,63.84,78.5065,840,0.4995560944080353,-3.2129836082458496,0.0008858667904100823,0.5071321725845337,-10.152914047241211,794
1238,21,26560,64.47,81.23898,850,0.48573917150497437,-3.3706929683685303,0.0008858667904100823,1.6107370853424072,-9.959505081176758,827
1225,22,27340,63.83,79.656204,860,0.4700414538383484,-3.4957242012023926,0.0008858667904100823,1.0196136236190796,-11.025370597839355,866
1209,23,28240,65.64,85.38608,870,0.45262008905410767,-3.7171192169189453,0.0008858667904100823,1.174291968345642,-10.914546966552734,911
1200,24,28940,68.12,92.135544,880,0.4395711123943329,-3.828174352645874,0.0008858667904100823,1.3203413486480713,-11.397636413574219,946
1192,24,29580,70.46,102.59141,890,0.4280179738998413,-3.907839298248291,0.0008858667904100823,0.9082468152046204,-11.194466590881348,978
1175,26,30700,72.37,110.36974,900,0.40875017642974854,-4.039466381072998,0.0008858667904100823,1.728900671005249,-11.995441436767578,1034
1166,27,31660,73.95,120.76625,910,0.39297184348106384,-4.193769454956055,0.0008858667904100823,2.0034542083740234,-12.764884948730469,1082
1155,28,32500,76.79,130.11806,920,0.3796737492084503,-4.224899768829346,0.0008858667904100823,1.954552412033081,-12.766012191772461,1124
1144,29,33560,79.3,140.10895,930,0.36377811431884766,-4.414473056793213,0.0008858667904100823,1.4066119194030762,-13.432982444763184,1177
1138,30,34500,83.19,153.50522,940,0.35034236311912537,-4.447892189025879,0.0008858667904100823,1.7076990604400635,-13.776603698730469,1224
1133,31,35380,86.76,165.23875,950,0.33831125497817993,-4.407444000244141,0.0008858667904100823,4.6165876388549805,-14.070603370666504,1268
1125,32,36380,89.12,174.6787,960,0.3252755403518677,-4.651472568511963,0.0008858667904100823,6.319501876831055,-15.510859489440918,1318
1121,33,37180,91.56,184.06094,970,0.315247118473053,-4.591518402099609,0.0008858667904100823,1.06502366065979,-16.29521942138672,1358
1115,34,38140,91.71,189.703,980,0.30369991064071655,-4.9236860275268555,0.0008858667904100823,0.8034666776657104,-16.073753356933594,1406
1108,35,38960,91.76,189.89319,990,0.29405516386032104,-4.636706352233887,0.0008858667904100823,2.1463680267333984,-16.12857437133789,1447
1102,36,39880,93.88,195.20837,1000,0.2839713394641876,-4.920469284057617,0.0008858667904100823,1.7921900749206543,-17.149063110351562,1493
1098,37,40760,93.17,194.94043,1010,0.27454864978790283,-4.943910598754883,0.0008858667904100823,2.8592987060546875,-18.060157775878906,1537
1091,38,41740,93.48,197.72739,1020,0.26448774337768555,-5.188780307769775,0.0008858667904100823,3.8623743057250977,-18.072940826416016,1586
1088,39,42700,92.99,197.84508,1030,0.2550760507583618,-5.030184745788574,0.0008858667904100823,3.069427967071533,-18.3551025390625,1634
1083,40,43580,91.68,196.07817,1040,0.2467634677886963,-4.630413055419922,0.0008858667904100823,5.401115894317627,-18.49318504333496,1678
1079,41,44400,90.94,194.146,1050,0.23948584496974945,-5.0305495262146,0.0008858667904100823,1.3625555038452148,-18.99004364013672,1719
1074,42,45360,90.74,193.65355,1060,0.2311839908361435,-5.733006000518799,0.0008858667904100823,3.4956297874450684,-20.16879653930664,1767
1070,43,46200,90.56,193.50838,1070,0.22427219152450562,-5.133390426635742,0.0008858667904100823,4.525200843811035,-20.41619110107422,1809
1064,44,47080,90.5,193.67041,1080,0.2172877937555313,-5.120415687561035,0.0008858667904100823,2.876770496368408,-20.825830459594727,1853
1065,45,48060,90.33,194.62509,1090,0.20972594618797302,-4.269256591796875,0.0008858667904100823,5.952342987060547,-21.51861572265625,1902
1069,45,48880,90.16,194.784,1100,0.2038845419883728,-5.396106243133545,0.0008858667904100823,3.256089687347412,-21.89945411682129,1943
1074,46,49900,90.11,195.13812,1110,0.19658662378787994,-4.751849174499512,0.0008858667904100823,1.7455027103424072,-23.18345069885254,1994
