time/fps,time/total_timesteps,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/time_elapsed,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss,train/ent_coef
573,31920,78.95,880,163.53221,55,-10.930549621582031,1095,0.004832930238571752,-2.3271052837371826,1.560484528541565,0.029623977839946747
576,32700,79.06,890,163.65056,56,-11.83561897277832,1134,0.004832930238571752,-2.975682258605957,0.6072145700454712,0.02836497686803341
579,33520,78.78,900,162.36086,57,-11.743432998657227,1175,0.004832930238571752,-3.905975103378296,0.7429364919662476,0.026756364852190018
584,34400,78.97,910,161.9703,58,-12.189399719238281,1219,0.004832930238571752,-2.7058000564575195,0.7497017979621887,0.025478295981884003
588,35200,78.91,920,161.56572,59,-12.327189445495605,1259,0.004832930238571752,-1.5359406471252441,1.2563101053237915,0.024455338716506958
591,36000,78.75,930,160.71341,60,-13.622406005859375,1299,0.004832930238571752,-3.4436073303222656,1.3216683864593506,0.023642778396606445
594,36780,79.17,940,161.5222,61,-13.064152717590332,1338,0.004832930238571752,-2.7159714698791504,2.075425624847412,0.02333466336131096
598,37620,80.29,950,163.87457,62,-13.492362976074219,1380,0.004832930238571752,-2.6514430046081543,0.3832473158836365,0.022709062322974205
600,38280,80.86,960,164.98328,63,-14.354621887207031,1413,0.004832930238571752,-1.2658605575561523,1.3391084671020508,0.022247789427638054
603,39280,81.46,970,166.11816,65,-14.611719131469727,1463,0.004832930238571752,-2.6267526149749756,1.929647445678711,0.02140647917985916
605,39900,81.31,980,165.47595,65,-14.678653717041016,1494,0.004832930238571752,-1.2419618368148804,1.0841896533966064,0.021368375048041344
537,40800,79.44,990,161.36473,75,-15.085100173950195,1539,0.004832930238571752,-0.46497857570648193,1.1442848443984985,0.022451724857091904
541,41520,79.4,1000,161.02127,76,-15.322127342224121,1575,0.004832930238571752,-2.3570992946624756,1.9648818969726562,0.022384751588106155
545,42440,80.11,1010,162.6239,77,-16.04178810119629,1621,0.004832930238571752,-2.0572540760040283,0.9398658275604248,0.021809790283441544
549,43160,80.13,1020,162.72278,78,-16.855409622192383,1657,0.004832930238571752,2.446241617202759,1.4711644649505615,0.021387487649917603
553,44060,80.25,1030,163.0138,79,-16.84075164794922,1702,0.004832930238571752,-2.09043288230896,1.4725148677825928,0.02237066812813282
557,44900,79.93,1040,162.34077,80,-17.10424041748047,1744,0.004832930238571752,0.656224250793457,1.5141026973724365,0.022063879296183586
561,45820,79.96,1050,162.37886,81,-17.499332427978516,1790,0.004832930238571752,2.3596835136413574,0.8882038593292236,0.021262453868985176
564,46560,79.51,1060,161.65749,82,-17.945932388305664,1827,0.004832930238571752,0.7988457679748535,2.022348403930664,0.020711658522486687
568,47500,79.49,1070,161.9395,83,-18.225757598876953,1874,0.004832930238571752,-2.3342719078063965,0.3212433457374573,0.02039843611419201
570,48180,79.73,1080,162.79568,84,-19.676097869873047,1908,0.004832930238571752,-0.2198842465877533,0.9994349479675293,0.019763194024562836
575,49200,82.55,1090,169.81842,85,-19.001140594482422,1959,0.004832930238571752,-1.809755563735962,3.7969541549682617,0.019270600751042366
576,49480,82.5,1100,170.09206,85,-18.95415496826172,1973,0.004832930238571752,3.9813640117645264,1.9000606536865234,0.019118834286928177
