rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss
35.86,24720,38.280495,20,1177,1000,735,2.0528059005737305,0.00012742749857031334,0.9110373854637146,-0.4554617702960968,-11.406959533691406
36.46,25240,39.68637,21,1167,1010,761,1.379063606262207,0.00012742749857031334,0.9080668687820435,-0.4711754620075226,-11.504984855651855
38.03,25580,42.987167,22,1162,1020,778,3.41752290725708,0.00012742749857031334,0.9061390161514282,-0.4856660068035126,-11.900321960449219
39.06,25920,44.37265,22,1157,1030,795,2.5860979557037354,0.00012742749857031334,0.9042115807533264,-0.49032890796661377,-12.277992248535156
40.55,26420,46.81887,23,1148,1040,820,1.6513736248016357,0.00012742749857031334,0.9013951420783997,-0.5129637718200684,-12.21825885772705
40.73,27020,46.88117,23,1139,1050,850,2.8067359924316406,0.00012742749857031334,0.8980234265327454,-0.5275822877883911,-12.587925910949707
43.64,27280,50.59583,23,1137,1060,863,2.6797242164611816,0.00012742749857031334,0.8965666890144348,-0.5268941521644592,-12.681349754333496
42.76,27600,49.206127,24,1133,1070,879,2.2866692543029785,0.00012742749857031334,0.8947868347167969,-0.538121223449707,-12.66817855834961
43.13,28200,50.9389,25,1125,1080,909,1.9780151844024658,0.00012742749857031334,0.8914676308631897,-0.5589596033096313,-12.81511116027832
43.81,28800,52.737198,25,1117,1090,939,1.2453041076660156,0.00012742749857031334,0.8881521224975586,-0.5778548121452332,-13.474603652954102
46.12,29340,56.34926,26,1111,1100,966,3.711395263671875,0.00012742749857031334,0.8851746320724487,-0.5763027667999268,-13.604888916015625
46.03,29960,55.64094,27,1106,1110,997,2.4528326988220215,0.00012742749857031334,0.8817801475524902,-0.6138554811477661,-13.890387535095215
47.52,30520,57.31893,27,1102,1120,1025,2.5169568061828613,0.00012742749857031334,0.8787291646003723,-0.6096497774124146,-14.452672958374023
48.76,31100,59.083702,28,1098,1130,1054,6.0218658447265625,0.00012742749857031334,0.8755821585655212,-0.6198787093162537,-14.883077621459961
52.28,31880,62.95119,29,1093,1140,1093,3.1596035957336426,0.00012742749857031334,0.8713780641555786,-0.6497029662132263,-14.996025085449219
53.73,32380,65.62337,29,1091,1150,1118,2.5760226249694824,0.00012742749857031334,0.8687002062797546,-0.6741294264793396,-15.491722106933594
53.75,32800,66.29231,30,1089,1160,1139,3.2828123569488525,0.00012742749857031334,0.8664571642875671,-0.6809185743331909,-15.884054183959961
55.96,33400,69.5122,30,1086,1170,1169,5.467358112335205,0.00012742749857031334,0.8632490634918213,-0.7019391655921936,-16.253631591796875
56.35,34000,70.41913,31,1080,1180,1199,1.2422168254852295,0.00012742749857031334,0.8600557446479797,-0.7024582624435425,-15.830286026000977
57.49,34440,72.887596,32,1074,1190,1221,3.687502384185791,0.00012742749857031334,0.8577279448509216,-0.7076529264450073,-16.97918701171875
57.23,35120,73.48367,32,1070,1200,1255,2.2468137741088867,0.00012742749857031334,0.8541544079780579,-0.750827431678772,-16.495603561401367
57.64,35600,75.40052,33,1066,1210,1279,4.76611328125,0.00012742749857031334,0.851637065410614,-0.7566910982131958,-17.184993743896484
58.37,36320,77.94439,34,1065,1220,1315,3.333157539367676,0.00012742749857031334,0.8478647470474243,-0.7852768898010254,-17.795852661132812
