rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,time/fps,time/episodes,train/n_updates,train/critic_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,train/actor_loss
37.25,26300,41.760063,46,560,1050,814,1.8709893226623535,0.00012742749857031334,0.9021034240722656,-0.5016833543777466,-11.599950790405273
38.07,26620,42.93206,47,562,1060,830,2.072636604309082,0.00012742749857031334,0.9002983570098877,-0.5124549865722656,-12.470232009887695
40.23,27240,45.871098,47,568,1070,861,2.1264960765838623,0.00012742749857031334,0.8968291282653809,-0.526708722114563,-12.190352439880371
42.61,27800,48.740955,48,572,1080,889,4.021251678466797,0.00012742749857031334,0.8937258124351501,-0.5446957349777222,-13.02389144897461
43.05,28400,48.664894,49,578,1090,919,1.137984037399292,0.00012742749857031334,0.8904004096984863,-0.5586552023887634,-12.952702522277832
45.44,28780,51.556767,49,581,1100,938,3.397772789001465,0.00012742749857031334,0.8882970213890076,-0.5738946199417114,-13.833770751953125
47.35,29300,57.224415,49,586,1110,964,2.2907683849334717,0.00012742749857031334,0.8854367733001709,-0.5728331804275513,-13.562427520751953
48.0,29780,59.68959,50,590,1120,988,4.49431848526001,0.00012742749857031334,0.8828192353248596,-0.5966721773147583,-13.93135929107666
49.08,30320,60.739166,53,564,1130,1015,1.660640835762024,0.00012742749857031334,0.8798721432685852,-0.6196696162223816,-14.042961120605469
51.14,30840,63.899574,54,566,1140,1041,2.052528142929077,0.00012742749857031334,0.8770423531532288,-0.6303144693374634,-14.453438758850098
49.92,31160,63.69847,54,567,1150,1057,1.9464881420135498,0.00012742749857031334,0.8753148317337036,-0.639711856842041,-14.541560173034668
50.86,31800,65.336716,55,572,1160,1089,2.081258535385132,0.00012742749857031334,0.8718733787536621,-0.650139331817627,-15.081232070922852
50.87,32260,67.292015,56,575,1170,1112,3.890903949737549,0.00012742749857031334,0.869411289691925,-0.6731765270233154,-15.89590072631836
48.45,32880,65.431274,56,579,1180,1143,3.525923490524292,0.00012742749857031334,0.8661041855812073,-0.6653478145599365,-15.584907531738281
52.01,33400,70.0822,57,583,1190,1169,7.605100631713867,0.00012742749857031334,0.8633595108985901,-0.6873669028282166,-16.179004669189453
51.26,33920,69.674835,57,586,1200,1195,4.8748369216918945,0.00012742749857031334,0.8606179356575012,-0.6996810436248779,-16.069623947143555
50.37,34400,67.53135,58,589,1210,1219,2.7161402702331543,0.00012742749857031334,0.858101487159729,-0.7180339097976685,-16.524547576904297
50.58,34900,69.25426,59,591,1220,1244,3.688201427459717,0.00012742749857031334,0.8554872870445251,-0.7324893474578857,-16.789356231689453
50.53,35420,70.77525,59,592,1230,1270,8.548262596130371,0.00012742749857031334,0.8527757525444031,-0.7577412128448486,-17.315582275390625
49.95,35920,71.25382,60,596,1240,1295,4.466922760009766,0.00012742749857031334,0.8501632809638977,-0.7424216270446777,-17.319095611572266
51.24,36520,73.3147,60,599,1250,1325,5.139206886291504,0.00012742749857031334,0.8470574021339417,-0.7407153248786926,-17.629703521728516
50.77,36900,74.16728,61,602,1260,1344,3.3612961769104004,0.00012742749857031334,0.8451175689697266,-0.7670650482177734,-17.80712890625
50.94,37440,74.6979,61,604,1270,1371,2.916288375854492,0.00012742749857031334,0.8423420786857605,-0.7910621166229248,-18.411102294921875
51.68,37920,77.407135,62,608,1280,1395,11.254793167114258,0.00012742749857031334,0.8398823142051697,-0.7992119789123535,-18.48288917541504
49.1,38360,76.2418,62,610,1290,1417,4.390267372131348,0.00012742749857031334,0.8376284241676331,-0.8176028728485107,-19.078290939331055
48.42,38840,75.56336,63,614,1300,1441,7.7617082595825195,0.00012742749857031334,0.83516925573349,-0.8314757347106934,-19.087581634521484
47.6,39220,74.89766,63,615,1310,1460,5.644527912139893,0.00012742749857031334,0.833221971988678,-0.8529556393623352,-19.666637420654297
49.37,39760,76.85372,64,619,1320,1487,9.511844635009766,0.00012742749857031334,0.8304646015167236,-0.8596067428588867,-19.680225372314453
49.36,40240,78.036995,67,592,1330,1511,5.446579933166504,0.00012742749857031334,0.8280366063117981,-0.8530867099761963,-20.106365203857422
49.28,40800,79.22704,68,595,1340,1539,7.174887657165527,0.00012742749857031334,0.8252255916595459,-0.8663811683654785,-20.169322967529297
50.06,41380,82.5973,69,599,1350,1568,13.045332908630371,0.00012742749857031334,0.8223139643669128,-0.8958917856216431,-20.62846565246582
50.46,41900,84.18536,69,602,1360,1594,6.632643222808838,0.00012742749857031334,0.8197150826454163,-0.8910716772079468,-21.38158416748047
50.33,42420,85.361115,70,605,1370,1620,8.787236213684082,0.00012742749857031334,0.8171297907829285,-0.9101951122283936,-21.369247436523438
53.35,43300,90.39042,70,610,1380,1664,3.097426414489746,0.00012742749857031334,0.8127490282058716,-0.9416139125823975,-22.08369255065918
53.38,43800,93.168526,71,612,1390,1689,5.855356693267822,0.00012742749857031334,0.8102902173995972,-0.9600588083267212,-22.683828353881836
54.79,44340,98.69323,72,615,1400,1716,9.426162719726562,0.00012742749857031334,0.8076456785202026,-0.9632094502449036,-22.516738891601562
57.29,44840,103.83131,72,617,1410,1741,8.310319900512695,0.00012742749857031334,0.8052151203155518,-0.977119505405426,-23.14885139465332
56.06,45240,103.872536,73,619,1420,1761,13.100102424621582,0.00012742749857031334,0.8032867312431335,-1.0008612871170044,-23.33846092224121
56.77,46100,106.36831,73,623,1430,1804,18.954853057861328,0.00012742749857031334,0.799098551273346,-1.0269618034362793,-23.203380584716797
60.52,46960,115.81638,74,627,1440,1847,15.072625160217285,0.00012742749857031334,0.7949646711349487,-1.0241607427597046,-24.442123413085938
62.11,47620,120.897995,75,629,1450,1880,3.067167282104492,0.00012742749857031334,0.7918156981468201,-1.060464859008789,-24.95590591430664
64.18,48540,126.808876,76,633,1460,1926,6.039890289306641,0.00012742749857031334,0.7874211668968201,-1.0441592931747437,-25.643329620361328
67.64,49240,135.0134,77,636,1470,1961,9.388223648071289,0.00012742749857031334,0.784137487411499,-1.1011536121368408,-25.867958068847656
