time/fps,time/episodes,rollout/ep_len_mean,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/learning_rate,train/actor_loss,train/critic_loss,train/ent_coef,train/n_updates
995,1230,79.08,57800,58,158.37232674,-0.05999919772148132,0.004641588833612777,-22.442157745361328,4.306621551513672,0.027204206213355064,2389
992,1240,81.23,59220,59,163.8050719,-0.06646335124969482,0.004641588833612777,-23.195384979248047,3.5509486198425293,0.027698734775185585,2460
990,1250,85.65,59980,60,177.31950600999997,-0.5808250904083252,0.004641588833612777,-24.314794540405273,2.1895668506622314,0.02828613668680191,2498
983,1260,88.47,61560,62,184.24105818,-2.0361461639404297,0.004641588833612777,-24.61159896850586,3.8595829010009766,0.02893950417637825,2577
976,1270,94.57,62820,64,203.45689932999997,1.2622196674346924,0.004641588833612777,-25.405733108520508,5.212028503417969,0.030034882947802544,2640
975,1280,102.31,64780,66,228.26180295999995,-0.8157750964164734,0.004641588833612777,-26.187793731689453,2.994729995727539,0.02938968688249588,2738
975,1290,109.37,65580,67,252.88128552999999,2.698688507080078,0.004641588833612777,-27.13817596435547,5.359417915344238,0.03184838220477104,2778
975,1300,108.54,66200,67,252.8856129,0.7379834651947021,0.004641588833612777,-27.188995361328125,6.43326997756958,0.03342209383845329,2809
973,1310,114.95,68420,70,278.41898309,-1.5685741901397705,0.004641588833612777,-28.67706298828125,2.3433547019958496,0.02853492461144924,2920
971,1320,123.95,70360,72,309.27056353,-1.7392659187316895,0.004641588833612777,-29.80404281616211,2.607217311859131,0.02792549692094326,3017
970,1330,136.14,72460,74,352.20553138,1.393216848373413,0.004641588833612777,-30.765186309814453,1.5075805187225342,0.026884062215685844,3122
970,1340,145.08,74000,76,381.70364840999986,-1.2067939043045044,0.004641588833612777,-31.211585998535156,2.6990838050842285,0.02513985149562359,3199
969,1350,149.97,75540,77,398.76561289999995,0.8663672208786011,0.004641588833612777,-33.44950866699219,3.392123222351074,0.0249839648604393,3276
969,1360,153.66,76940,79,414.48390134,0.8572896718978882,0.004641588833612777,-32.798336029052734,12.896936416625977,0.02404390461742878,3346
967,1370,157.91,79520,82,430.9999669599999,-3.6677374839782715,0.004641588833612777,-35.03773498535156,3.543483018875122,0.024911347776651382,3475
966,1380,161.55,81080,83,446.30066701,2.9837164878845215,0.004641588833612777,-36.527313232421875,3.3627023696899414,0.02741995081305504,3553
965,1390,168.92,82780,85,469.93450386999996,0.20931440591812134,0.004641588833612777,-38.29901123046875,7.165633201599121,0.027203187346458435,3638
963,1400,177.0,83840,86,495.22785702999994,-0.3125711679458618,0.004641588833612777,-37.24815368652344,4.935035228729248,0.027061739936470985,3691
962,1410,175.08,86060,89,488.46762735,-1.5634839534759521,0.004641588833612777,-39.75286865234375,1.4356117248535156,0.025719912722706795,3802
960,1420,172.67,87020,90,482.02853676000007,-2.5372490882873535,0.004641588833612777,-40.80109405517578,7.958596706390381,0.025876393541693687,3850
956,1430,167.1,88720,92,461.9727783999999,5.594154357910156,0.004641588833612777,-39.072479248046875,4.618771553039551,0.026242509484291077,3935
955,1440,162.7,89620,93,448.9044436099999,4.077238082885742,0.004641588833612777,-42.80792999267578,4.788743019104004,0.030055353417992592,3980
952,1450,160.97,91960,96,444.27628875000005,-2.1170198917388916,0.004641588833612777,-45.10687255859375,5.697139263153076,0.033315129578113556,4097
951,1460,162.51,93300,98,444.83875578000004,0.48445117473602295,0.004641588833612777,-44.31291961669922,2.7007856369018555,0.03024245798587799,4164
