rollout/ep_rew_mean,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_len_mean,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/actor_loss
333.01898966,967,305,295520,3580,123.54,14275,37.161529541015625,0.1264183521270752,0.03593813663804626,-1.192795991897583,-93.62032318115234
331.16218683,966,307,297280,3590,123.19,14363,9.210431098937988,0.11215278506278992,0.03593813663804626,0.6413081884384155,-89.40408325195312
323.25540842,966,308,298020,3600,120.99,14400,48.68994903564453,0.0694158598780632,0.03593813663804626,-2.799236297607422,-89.42310333251953
309.28933761999997,966,309,298820,3610,116.43,14440,12.083524703979492,0.13943563401699066,0.03593813663804626,1.5621494054794312,-92.69822692871094
300.57944535,966,310,300460,3620,114.03,14522,8.407618522644043,0.10133210569620132,0.03593813663804626,-1.3658881187438965,-90.8292236328125
299.15738830000004,966,311,301060,3630,113.76,14552,15.914562225341797,0.07906629145145416,0.03593813663804626,-1.4688613414764404,-94.25016784667969
299.79957128,966,313,302880,3640,113.93,14643,19.545873641967773,0.11543264240026474,0.03593813663804626,-0.45531371235847473,-90.11786651611328
303.07757967000003,965,313,303220,3650,114.8,14660,14.938192367553711,0.11589609831571579,0.03593813663804626,1.2485051155090332,-91.67414093017578
295.43158113000004,965,316,305220,3660,112.55,14760,60.350372314453125,0.08501411974430084,0.03593813663804626,1.778760552406311,-91.66410064697266
298.35772091,965,316,305860,3670,112.88,14792,55.35177993774414,0.09096692502498627,0.03593813663804626,-1.7624441385269165,-92.56706237792969
295.71544066,965,318,307100,3680,111.79,14854,19.682476043701172,0.05089510604739189,0.03593813663804626,-0.3317093253135681,-96.10682678222656
302.07557166,965,319,308460,3690,113.59,14922,20.67053985595703,0.07053189724683762,0.03593813663804626,-2.7366366386413574,-96.85197448730469
311.6840121,964,321,309820,3700,116.19,14990,16.645965576171875,0.14355945587158203,0.03593813663804626,-1.9759341478347778,-94.61649322509766
314.16297304,964,322,310840,3710,117.16,15041,20.85873031616211,0.08835671842098236,0.03593813663804626,5.204278945922852,-96.39776611328125
320.78528352000006,964,323,311860,3720,118.89,15092,20.202056884765625,0.07190650701522827,0.03593813663804626,1.6881041526794434,-93.46380615234375
323.7674741600001,964,324,313420,3730,119.57,15170,8.701297760009766,0.08038242906332016,0.03593813663804626,0.4881431758403778,-95.634765625
325.18934364000006,964,325,314120,3740,119.68,15205,29.972545623779297,0.11810743808746338,0.03593813663804626,-3.8625102043151855,-96.29208374023438
322.11418147,964,327,315600,3750,119.0,15279,13.946690559387207,0.12836596369743347,0.03593813663804626,-2.6281023025512695,-93.09564208984375
326.58545411,963,328,316600,3760,120.01,15329,13.462667465209961,0.06600768119096756,0.03593813663804626,4.721593856811523,-99.77833557128906
322.78470259,962,330,318220,3770,119.03,15410,20.495960235595703,0.07586929202079773,0.03593813663804626,0.46072202920913696,-98.69808197021484
328.57103321,962,331,319280,3780,121.01,15463,43.37757873535156,0.09898031502962112,0.03593813663804626,-1.3756701946258545,-93.791748046875
325.91096362999997,961,333,320700,3790,120.46,15534,13.150485038757324,0.09334272146224976,0.03593813663804626,-1.3659287691116333,-97.56886291503906
323.32401416,961,334,321900,3800,120.06,15594,39.066078186035156,0.09431536495685577,0.03593813663804626,2.0993540287017822,-96.72806549072266
320.1745010799999,961,335,322540,3810,118.37,15626,16.551395416259766,0.11677428334951401,0.03593813663804626,-3.264932870864868,-95.39933013916016
325.60599815,960,336,323540,3820,119.71,15676,12.504979133605957,0.07312047481536865,0.03593813663804626,-0.5969164371490479,-98.70481872558594
311.36364564999997,960,338,324980,3830,115.54,15748,23.97907829284668,0.13021892309188843,0.03593813663804626,1.5859061479568481,-94.78656005859375
315.96043633,960,339,326200,3840,117.02,15809,60.397499084472656,0.09870876371860504,0.03593813663804626,-0.7527409791946411,-96.66792297363281
316.82586072000004,960,340,327140,3850,116.83,15856,68.21946716308594,0.0459364615380764,0.03593813663804626,8.371781349182129,-94.13130187988281
315.6826632,960,342,328700,3860,116.7,15934,17.315410614013672,0.07535062730312347,0.03593813663804626,3.3088934421539307,-95.2233657836914
