,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
86,86,18.1410916,2023-05-18 16:52:01.141482,2023-05-18 16:52:02.012805,0 days 00:00:00.871323,2048,100000,0.995,1.8700769233137658e-05,1000,0.2652394226633414,big,0.005,4,PRUNED
87,87,27.574981799999996,2023-05-18 16:52:02.013850,2023-05-18 16:52:02.773585,0 days 00:00:00.759735,256,10000,0.9,0.00012146993960486092,1000,-0.7312271882400292,medium,0.005,256,PRUNED
88,88,44.912974399999996,2023-05-18 16:52:02.776747,2023-05-18 16:52:03.704281,0 days 00:00:00.927534,32,1000000,0.999,0.013458937893558637,1000,0.39599397013237775,medium,0.01,16,PRUNED
89,89,16.8636128,2023-05-18 16:52:03.708155,2023-05-18 16:52:04.908606,0 days 00:00:01.200451,256,10000,0.9,3.513364203126918e-05,1000,-0.12303707059161498,big,0.005,256,PRUNED
90,90,29.0186942,2023-05-18 16:52:04.909713,2023-05-18 16:52:06.980094,0 days 00:00:02.070381,16,10000,0.9,0.00016653206883169,1000,0.274514523084164,big,0.005,32,PRUNED
91,91,21.7485406,2023-05-18 16:52:06.246181,2023-05-18 16:52:08.033686,0 days 00:00:01.787505,16,1000000,0.99,0.059322484009230625,1000,0.24691394995856072,small,0.005,1,PRUNED
92,92,12.718087399999998,2023-05-18 16:52:06.981813,2023-05-18 16:52:07.780468,0 days 00:00:00.798655,2048,100000,0.9,1.2881100485342468e-05,1000,-0.8960155798199109,big,0.001,4,PRUNED
93,93,46.494083200000006,2023-05-18 16:52:07.781667,2023-05-18 16:52:09.550074,0 days 00:00:01.768407,2048,1000000,0.9,0.006504104914527855,20000,0.8114670464034935,big,0.05,16,PRUNED
94,94,25.6464406,2023-05-18 16:52:08.034773,2023-05-18 16:52:09.789767,0 days 00:00:01.754994,32,1000000,0.95,0.008704313934902572,20000,0.2952225823674718,big,0.01,16,PRUNED
95,95,45.006243,2023-05-18 16:52:09.551524,2023-05-18 16:52:11.187734,0 days 00:00:01.636210,2048,1000000,0.9,0.007094650853797098,10000,-2.123954038628344,big,0.001,32,PRUNED
96,96,77.41217220000001,2023-05-18 16:52:09.790940,2023-05-18 16:52:11.698721,0 days 00:00:01.907781,32,10000,0.99,0.0002566670244578053,1000,-0.0736403379467917,big,0.01,256,PRUNED
97,97,14.159222599999998,2023-05-18 16:52:11.190689,2023-05-18 16:52:12.314406,0 days 00:00:01.123717,32,10000,0.9,0.00013580970428700242,1000,-1.8562135792034082,big,0.005,64,PRUNED
98,98,21.5364424,2023-05-18 16:52:11.701077,2023-05-18 16:52:13.647432,0 days 00:00:01.946355,16,1000000,0.999,0.00010812781652790279,1000,0.344593378504741,big,0.01,16,PRUNED
99,99,20.5589118,2023-05-18 16:52:12.315195,2023-05-18 16:52:13.106773,0 days 00:00:00.791578,64,1000000,0.9,0.027003351019733952,1000,0.7986125569097274,small,0.005,128,PRUNED
100,100,18.7045746,2023-05-18 16:52:13.108639,2023-05-18 16:52:14.503313,0 days 00:00:01.394674,2048,1000000,0.9999,0.35898890881047024,1000,-1.093397051928432,small,0.02,128,PRUNED
101,101,40.86427260000001,2023-05-18 16:52:13.649071,2023-05-18 16:52:15.701330,0 days 00:00:02.052259,2048,10000,0.9,0.00026486179233826794,1000,-0.7690678648987129,big,0.005,512,PRUNED
102,102,184.579992,2023-05-18 16:52:14.504260,2023-05-18 16:52:17.542083,0 days 00:00:03.037823,16,1000000,0.9,0.03428850973909528,1000,-0.017460833945406318,small,0.08,32,COMPLETE
103,103,30.926707600000004,2023-05-18 16:52:15.702979,2023-05-18 16:52:16.905736,0 days 00:00:01.202757,2048,1000000,0.9999,0.4973080591618646,1000,-2.216891455085416,small,0.02,512,PRUNED
104,104,57.6281288,2023-05-18 16:52:16.907113,2023-05-18 16:52:18.530124,0 days 00:00:01.623011,2048,1000000,0.9,8.23294756161903e-05,1000,0.7788087216269568,big,0.005,4,PRUNED
105,105,127.43840100000003,2023-05-18 16:52:17.544579,2023-05-18 16:52:20.319541,0 days 00:00:02.774962,2048,1000000,0.9,0.000190978379848064,10000,-1.2386170710856304,big,0.01,256,COMPLETE
106,106,10.814842200000001,2023-05-18 16:52:18.531274,2023-05-18 16:52:19.249563,0 days 00:00:00.718289,16,1000000,0.9,0.026170171665006507,1000,-1.4473371196184959,small,0.08,256,PRUNED
107,107,33.229438,2023-05-18 16:52:19.250942,2023-05-18 16:52:20.381986,0 days 00:00:01.131044,32,10000,0.999,0.008054571777767484,1000,0.46812555288615193,big,0.01,16,PRUNED
