,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_learning_starts,params_log_std_init,params_net_arch,params_tau,params_train_freq,state
96,96,16.100518400000002,2023-05-18 15:19:50.115757,2023-05-18 15:19:50.852568,0 days 00:00:00.736811,32,100000,0.999,0.589460907120362,1000,-3.351588022956692,big,0.005,32,PRUNED
97,97,45.185197200000005,2023-05-18 15:19:50.853606,2023-05-18 15:21:49.245334,0 days 00:01:58.391728,2048,1000000,0.9,0.0001273725176519419,0,-1.0012847991904197,medium,0.08,16,PRUNED
98,98,215.9981342,2023-05-18 15:19:53.464075,2023-05-18 15:22:33.611134,0 days 00:02:40.147059,2048,1000000,0.9,0.00048709352424636254,0,0.4798773983598755,big,0.08,32,COMPLETE
99,99,61.981970000000004,2023-05-18 15:20:15.028002,2023-05-18 15:20:42.707201,0 days 00:00:27.679199,128,1000000,0.995,0.0003303167000998719,0,0.2712294121694348,big,0.08,16,PRUNED
100,100,17.861346,2023-05-18 15:20:42.711030,2023-05-18 15:20:43.332695,0 days 00:00:00.621665,1024,100000,0.99,0.15272153005786082,1000,-3.4899675280174858,big,0.005,32,PRUNED
101,101,35.4944456,2023-05-18 15:20:43.335186,2023-05-18 15:20:43.937173,0 days 00:00:00.601987,1024,100000,0.999,0.35619152188382364,1000,-3.537786897264933,big,0.005,512,PRUNED
102,102,175.17462700000002,2023-05-18 15:20:43.937979,2023-05-18 15:22:12.718659,0 days 00:01:28.780680,1024,1000000,0.9,0.009909723226676036,0,-1.653030164568356,big,0.08,32,COMPLETE
103,103,24.4394498,2023-05-18 15:21:05.195983,2023-05-18 15:21:05.668134,0 days 00:00:00.472151,64,10000,0.9999,0.033346433571534065,1000,-1.8728395506031623,small,0.005,32,PRUNED
104,104,81.8212958,2023-05-18 15:21:05.669199,2023-05-18 15:23:56.084557,0 days 00:02:50.415358,2048,1000000,0.9,0.0007015979355381874,0,-0.09127279948865943,big,0.02,16,PRUNED
105,105,43.059292400000004,2023-05-18 15:21:49.247159,2023-05-18 15:22:07.206985,0 days 00:00:17.959826,32,1000000,0.9,0.00012162272346484694,0,-0.861347855970689,big,0.08,64,PRUNED
106,106,32.42141780000001,2023-05-18 15:22:07.208853,2023-05-18 15:22:46.443517,0 days 00:00:39.234664,256,1000000,0.9,1.768843599277159e-05,0,-0.5511683630316727,big,0.08,32,PRUNED
107,107,20.4506502,2023-05-18 15:22:12.721655,2023-05-18 15:25:16.576483,0 days 00:03:03.854828,2048,1000000,0.9,1.669746025401824e-05,0,0.11988082104558917,big,0.08,32,PRUNED
108,108,184.95976560000003,2023-05-18 15:22:33.613104,2023-05-18 15:24:29.057816,0 days 00:01:55.444712,1024,1000000,0.9,0.0008675434741863369,0,-2.8501147732804424,big,0.08,32,COMPLETE
