train/ent_coef_loss,train/actor_loss,time/total_timesteps,train/critic_loss,time/fps,time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,train/ent_coef,train/n_updates,time/episodes,train/learning_rate
-0.20065414905548096,-26.288278579711914,55044,32.01736068725586,136,404,32.18,44.17717,0.9556573629379272,4578,2730,1e-05
-0.19794410467147827,-26.138477325439453,55404,36.17878723144531,136,406,32.33,44.206947,0.9553931355476379,4608,2740,1e-05
-0.20787662267684937,-25.137643814086914,55656,23.327613830566406,136,408,32.15,44.11672,0.9552081227302551,4629,2750,1e-05
-0.2039196938276291,-26.09123992919922,56052,17.731834411621094,136,410,32.81,44.448456,0.9549204111099243,4662,2760,1e-05
-0.19912253320217133,-26.1085205078125,56364,27.611305236816406,136,413,32.74,45.835445,0.9546932578086853,4688,2770,1e-05
-0.20432719588279724,-26.124967575073242,56772,29.164722442626953,136,415,32.67,46.253963,0.9543973803520203,4722,2780,1e-05
-0.20429390668869019,-27.02090072631836,57084,16.08575439453125,136,418,32.87,45.798405,0.9541723132133484,4748,2790,1e-05
-0.18927045166492462,-28.70960235595703,57420,29.24382781982422,136,420,33.36,46.495117,0.9539307355880737,4776,2800,1e-05
-0.2016974836587906,-28.50262451171875,57744,43.02436828613281,136,422,34.03,47.095375,0.9536982774734497,4803,2810,1e-05
-0.20447194576263428,-27.47235870361328,58104,39.08001708984375,136,424,34.79,49.284332,0.9534404873847961,4833,2820,1e-05
-0.2042774260044098,-27.46088981628418,58404,28.83959197998047,136,426,34.84,49.206406,0.953226625919342,4858,2830,1e-05
-0.19976522028446198,-28.429603576660156,58740,21.62106704711914,136,429,34.73,49.07294,0.9529891610145569,4886,2840,1e-05
-0.20876669883728027,-28.14887046813965,59052,23.36806869506836,136,431,34.01,48.93743,0.9527682662010193,4912,2850,1e-05
-0.20470485091209412,-29.17755126953125,59256,45.4923210144043,136,432,33.97,49.43367,0.9526242613792419,4929,2860,1e-05
-0.2058405727148056,-29.342403411865234,59532,59.87858581542969,136,435,32.79,47.667667,0.9524287581443787,4952,2870,1e-05
-0.19124557077884674,-29.124393463134766,59844,48.803466796875,136,437,31.73,46.66827,0.9522091150283813,4978,2880,1e-05
-0.2042030394077301,-29.3128662109375,60144,36.37107849121094,136,439,31.46,47.43121,0.9520002603530884,5003,2890,1e-05
-0.20863917469978333,-29.16912269592285,60492,36.47990417480469,137,441,30.6,47.686337,0.9517560601234436,5032,2900,1e-05
-0.2013414204120636,-29.773576736450195,60768,34.842193603515625,137,443,31.54,48.200424,0.9515641927719116,5055,2910,1e-05
-0.2005760371685028,-29.687654495239258,61044,36.5384521484375,137,445,30.28,46.95753,0.951371967792511,5078,2920,1e-05
-0.1933574080467224,-31.46869659423828,61452,64.21903228759766,136,448,29.45,45.8148,0.9510891437530518,5112,2930,1e-05
-0.20182925462722778,-31.247583389282227,61776,51.10179901123047,136,451,29.0,45.945576,0.9508654475212097,5139,2940,1e-05
-0.20693790912628174,-30.448402404785156,62028,44.79462432861328,136,452,30.41,46.411434,0.9506910443305969,5160,2950,1e-05
-0.1986164152622223,-31.103172302246094,62268,26.09237289428711,137,454,29.75,45.915985,0.95052570104599,5180,2960,1e-05
