rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss
20.49234254,35,1570,901,32120,20.28,2.782559402207126e-05,-0.15350337326526642,1105,6.480738162994385,0.9697177410125732,-11.738764762878418
18.15331265,35,1580,902,32380,19.0,2.782559402207126e-05,-0.15720219910144806,1118,3.794621229171753,0.9693691730499268,-11.82801628112793
21.13731542,36,1590,902,32600,20.44,2.782559402207126e-05,-0.15555453300476074,1129,5.171972274780273,0.9690739512443542,-11.840747833251953
20.83797181,36,1600,904,32860,19.88,2.782559402207126e-05,-0.15913620591163635,1142,5.974740982055664,0.9687263369560242,-11.956693649291992
24.596811490000007,36,1610,905,33040,21.74,2.782559402207126e-05,-0.1598765254020691,1151,11.761116027832031,0.9684853553771973,-12.053915023803711
25.171129539999995,36,1620,905,33300,22.12,2.782559402207126e-05,-0.1612083911895752,1164,5.510529041290283,0.9681376218795776,-12.174989700317383
26.422805479999997,36,1630,905,33440,22.59,2.782559402207126e-05,-0.1642644703388214,1171,8.181235313415527,0.9679502844810486,-12.185503005981445
23.791511659999998,37,1640,905,33660,21.41,2.782559402207126e-05,-0.16472670435905457,1182,6.3297271728515625,0.9676557779312134,-12.37134838104248
24.55015266,37,1650,905,33960,21.6,2.782559402207126e-05,-0.16549929976463318,1197,3.655092716217041,0.9672546982765198,-12.681163787841797
24.918769679999997,37,1660,906,34280,21.88,2.782559402207126e-05,-0.16839545965194702,1213,6.201440811157227,0.966827929019928,-12.369114875793457
27.264323320000003,38,1670,907,34560,23.06,2.782559402207126e-05,-0.16918055713176727,1227,9.023618698120117,0.9664545059204102,-12.919800758361816
30.575856090000006,38,1680,907,34720,24.85,2.782559402207126e-05,-0.17322902381420135,1235,5.570934295654297,0.9662414193153381,-12.557814598083496
28.78697924,38,1690,908,34920,24.2,2.782559402207126e-05,-0.17164719104766846,1245,9.15073013305664,0.9659746289253235,-13.137853622436523
28.368670770000005,38,1700,908,35140,24.31,2.782559402207126e-05,-0.17285338044166565,1256,4.713091850280762,0.965681254863739,-12.987756729125977
25.052370890000002,38,1710,910,35400,22.53,2.782559402207126e-05,-0.17295828461647034,1269,11.527444839477539,0.9653358459472656,-13.117660522460938
26.718511330000002,39,1720,910,35560,23.04,2.782559402207126e-05,-0.1765209436416626,1277,7.793591499328613,0.9651238322257996,-13.26977252960205
25.267284890000006,39,1730,911,35800,22.48,2.782559402207126e-05,-0.1766146868467331,1289,4.888994216918945,0.9648053646087646,-13.812104225158691
26.468491820000004,39,1740,911,36120,23.36,2.782559402207126e-05,-0.179705411195755,1305,4.395425796508789,0.9643808603286743,-13.675010681152344
27.851620580000002,39,1750,911,36440,24.14,2.782559402207126e-05,-0.18214257061481476,1321,7.129787445068359,0.9639573693275452,-13.618368148803711
30.094081940000002,40,1760,912,36640,25.25,2.782559402207126e-05,-0.1828148365020752,1331,9.258331298828125,0.9636926054954529,-13.761667251586914
29.00265156,40,1770,913,36960,24.7,2.782559402207126e-05,-0.18483960628509521,1347,8.894458770751953,0.9632696509361267,-13.604804992675781
29.259084019999996,40,1780,914,37200,24.63,2.782559402207126e-05,-0.18645961582660675,1359,6.733887195587158,0.9629529714584351,-13.966824531555176
31.515629999999998,40,1790,915,37540,25.46,2.782559402207126e-05,-0.1890159547328949,1376,8.73463249206543,0.962505042552948,-14.30612850189209
32.49290508,41,1800,916,37780,25.81,2.782559402207126e-05,-0.18932098150253296,1388,8.191637992858887,0.9621891975402832,-14.27830696105957
