time/total_timesteps,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/n_updates
22080,1205,108.28603,18,700,57.68,0.04390370845794678,0.00615848211066026,-5.7737627029418945,-4.01807975769043,0.33569103479385376,603
23560,1178,114.461,19,710,59.59,0.03693067654967308,0.00615848211066026,-7.179143905639648,-7.829493045806885,0.6939432621002197,677
23740,1175,125.31335,20,720,64.09,0.03610255941748619,0.00615848211066026,-7.430860996246338,0.7833881378173828,0.19079077243804932,686
25280,1146,134.85054,22,730,67.83,0.03087603859603405,0.00615848211066026,-7.7684197425842285,-2.829197883605957,0.47557324171066284,763
25420,1142,143.33197,22,740,70.65,0.030497802421450615,0.00615848211066026,-7.852871417999268,-1.3899370431900024,0.3753916621208191,770
26080,1129,147.77899,23,750,72.67,0.029390037059783936,0.00615848211066026,-8.716228485107422,2.9452271461486816,0.6635769009590149,803
26160,1128,141.21965,23,760,69.8,0.02938787080347538,0.00615848211066026,-7.883428573608398,1.3541123867034912,0.6411431431770325,807
27720,1111,143.42378,24,770,70.72,0.02651422843337059,0.00615848211066026,-8.938735961914062,-2.2685346603393555,1.3789243698120117,885
27820,1110,149.3397,25,780,73.01,0.026328423991799355,0.00615848211066026,-9.070632934570312,0.5575677156448364,0.4784858822822571,890
29420,1090,148.48227,26,790,73.06,0.02429356426000595,0.00615848211066026,-9.849517822265625,0.4683830440044403,0.8340654969215393,970
29540,1089,154.69139,27,800,75.83,0.024247439578175545,0.00615848211066026,-9.959951400756836,-2.5430784225463867,0.7198919653892517,976
31160,1071,158.30725,29,810,77.86,0.02300136908888817,0.00615848211066026,-10.322182655334473,0.6454566717147827,1.2888944149017334,1057
31240,1070,158.33104,29,820,78.02,0.022959811612963676,0.00615848211066026,-10.575429916381836,-0.6815648078918457,1.3919332027435303,1061
32860,1061,159.36183,30,830,78.64,0.021671302616596222,0.00615848211066026,-11.324434280395508,-3.0712947845458984,0.6233916282653809,1142
32960,1060,159.25714,31,840,78.72,0.021585317328572273,0.00615848211066026,-11.182802200317383,-1.1945288181304932,0.7540514469146729,1147
34600,1046,161.4555,33,850,79.8,0.020082220435142517,0.00615848211066026,-12.144258499145508,0.0908605307340622,0.6365936994552612,1229
34700,1045,172.28441,33,860,84.82,0.020055416971445084,0.00615848211066026,-12.472187995910645,-1.9946246147155762,0.5909323692321777,1234
36220,1036,171.4428,34,870,84.84,0.02008874900639057,0.00615848211066026,-13.034224510192871,-0.9393270611763,0.490866482257843,1310
36360,1034,169.54523,35,880,84.79,0.02027743123471737,0.00615848211066026,-12.84620189666748,0.9951233267784119,0.8313992023468018,1317
37540,1027,166.62279,36,890,83.65,0.02011682093143463,0.00615848211066026,-13.679893493652344,4.483640670776367,1.390547752380371,1376
38080,1025,166.59271,37,900,83.83,0.020608743652701378,0.00615848211066026,-13.547540664672852,-3.438721179962158,0.5359951257705688,1403
