time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,train/ent_coef_loss
1001,95160,95,313.03127032,125.95,1470,0.029536470770835876,0.0016681005372000592,4257,6.011322975158691,-44.531517028808594,-0.8674071431159973
1001,95260,95,309.88624885999997,124.55,1480,0.029467018321156502,0.0016681005372000592,4262,5.075090408325195,-46.097320556640625,0.6014195680618286
998,97620,97,307.51144938,123.14,1490,0.030058063566684723,0.0016681005372000592,4380,8.677682876586914,-45.03588104248047,-1.8121087551116943
997,97760,97,306.54146061000006,122.57,1500,0.029987098649144173,0.0016681005372000592,4387,8.590694427490234,-43.61444854736328,-0.4554870128631592
996,99980,100,306.27468730000004,122.17,1510,0.028747592121362686,0.0016681005372000592,4498,3.7484402656555176,-48.897891998291016,-0.3454955816268921
996,100200,100,306.27841911,121.5,1520,0.028617599979043007,0.0016681005372000592,4509,3.5727553367614746,-47.82282257080078,0.5326948761940002
994,102600,103,311.44008679,121.9,1530,0.02966911531984806,0.0016681005372000592,4629,1.6689684391021729,-48.39265823364258,0.8651697635650635
994,102740,103,313.91201412000004,122.57,1540,0.029715724289417267,0.0016681005372000592,4636,2.6216487884521484,-48.63902282714844,-0.4665510654449463
992,105260,106,317.0390867600001,123.17,1550,0.03038773313164711,0.0016681005372000592,4762,3.700991153717041,-50.31276321411133,0.5483119487762451
992,105340,106,321.45124899,124.11,1560,0.030383430421352386,0.0016681005372000592,4766,10.144119262695312,-49.70658874511719,-0.642519474029541
990,107700,108,324.79815300999996,124.92,1570,0.030007511377334595,0.0016681005372000592,4884,1.6689965724945068,-51.590415954589844,-0.4783979058265686
990,107860,108,327.52994354,125.97,1580,0.03003803826868534,0.0016681005372000592,4892,3.596673011779785,-52.93601989746094,0.9231648445129395
987,110180,111,328.60949455,126.35,1590,0.033379144966602325,0.0016681005372000592,5008,14.010390281677246,-53.10560607910156,0.293791264295578
