time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,train/n_updates,train/ent_coef_loss,train/actor_loss,train/critic_loss,train/learning_rate,train/ent_coef
1165,61.55,21,114.88997,24940,800,746,-3.982130527496338,-7.549540042877197,0.3210139870643616,0.004641588833612777,0.05202522501349449
1155,64.72,22,123.76716,25480,810,773,-8.650725364685059,-8.055225372314453,0.769082248210907,0.004641588833612777,0.04905802756547928
1131,67.31,23,129.94635,26780,820,838,-6.078770637512207,-8.69188404083252,0.4700559079647064,0.004641588833612777,0.04265842214226723
1127,72.52,24,141.98149,27240,830,861,-5.721000671386719,-8.350739479064941,0.6779805421829224,0.004641588833612777,0.04117034003138542
1123,73.73,24,144.65187,27580,840,878,-3.386476516723633,-8.524945259094238,0.9062545299530029,0.004641588833612777,0.03997281566262245
1111,73.25,26,142.79315,28940,850,946,-3.8232154846191406,-9.100761413574219,1.922144889831543,0.004641588833612777,0.03655051067471504
1108,76.23,26,148.60756,29320,860,965,0.5496595501899719,-9.544647216796875,0.5187088847160339,0.004641588833612777,0.03561372682452202
1097,79.09,27,155.1483,30440,870,1021,-0.9828593134880066,-9.958841323852539,0.7922796010971069,0.004641588833612777,0.0331670381128788
1091,78.97,28,154.38486,30960,880,1047,0.9066863656044006,-9.740195274353027,0.7340878844261169,0.004641588833612777,0.031929951161146164
1079,78.73,29,153.60326,32300,890,1114,1.5397143363952637,-10.671628952026367,1.4146043062210083,0.004641588833612777,0.029228266328573227
1078,80.58,30,157.87653,32400,900,1119,3.592195749282837,-10.173727035522461,1.542553424835205,0.004641588833612777,0.029128167778253555
1062,80.92,32,158.92192,34200,910,1209,1.205325961112976,-11.755061149597168,0.46604397892951965,0.004641588833612777,0.02693289704620838
1059,83.78,32,164.77533,34360,920,1217,-0.4391971230506897,-11.250702857971191,1.6977628469467163,0.004641588833612777,0.026862919330596924
1050,84.3,34,165.71358,36080,930,1303,-3.768156051635742,-12.4972562789917,1.5620436668395996,0.004641588833612777,0.026186758652329445
1050,85.44,34,168.05983,36200,940,1309,-1.9702085256576538,-13.157977104187012,0.47695136070251465,0.004641588833612777,0.0260787233710289
1038,85.78,36,168.43422,37460,950,1372,-5.238697528839111,-13.25168228149414,0.9668657779693604,0.004641588833612777,0.025083273649215698
1033,85.93,36,168.5713,37900,960,1394,4.519696235656738,-13.19625186920166,0.9730492830276489,0.004641588833612777,0.024453511461615562
1016,87.75,38,172.63788,39420,970,1470,-1.6624433994293213,-13.628118515014648,1.709457516670227,0.004641588833612777,0.023769576102495193
1009,89.42,39,176.43024,39780,980,1488,-2.1948161125183105,-14.481359481811523,1.4300289154052734,0.004641588833612777,0.023503083735704422
1002,90.27,41,178.27562,41180,990,1558,-0.24379068613052368,-15.564946174621582,1.586540937423706,0.004641588833612777,0.022755058482289314
1002,89.87,41,178.10982,41620,1000,1580,-2.5867505073547363,-15.241865158081055,0.7903026342391968,0.004641588833612777,0.022741207852959633
995,90.13,43,179.40784,42960,1010,1647,-0.0754859447479248,-15.61276626586914,0.6250544190406799,0.004641588833612777,0.021752027794718742
994,89.72,43,180.13907,43440,1020,1671,0.8416659832000732,-15.833209037780762,2.3905510902404785,0.004641588833612777,0.021470878273248672
988,89.44,45,180.4201,44860,1030,1742,0.3687886893749237,-15.886581420898438,3.459641933441162,0.004641588833612777,0.021511688828468323
984,90.16,46,185.03004,45400,1040,1769,-2.8550784587860107,-16.680065155029297,0.7229343056678772,0.004641588833612777,0.02114109881222248
981,93.2,47,195.73103,46820,1050,1840,3.2797484397888184,-17.516138076782227,2.4713187217712402,0.004641588833612777,0.02017483301460743
979,93.27,48,196.31842,47140,1060,1856,-1.8718091249465942,-17.679689407348633,3.0870251655578613,0.004641588833612777,0.0203490499407053
973,93.02,49,197.04832,48600,1070,1929,-7.409863471984863,-19.034317016601562,1.1734724044799805,0.004641588833612777,0.0198996439576149
972,92.18,50,195.90024,48880,1080,1943,1.879521131515503,-18.849075317382812,3.453836679458618,0.004641588833612777,0.01952436938881874
