time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/n_updates,train/critic_loss
217220,1294,9370,22.11,38.848501830000004,167,0.09,-8.92620849609375,113.10148620605469,0.018361998721957207,10360,2.4866302013397217
217460,1294,9380,22.07,38.78002079,167,0.09,-8.253196716308594,99.41434478759766,0.02883213758468628,10372,3.3691136837005615
217660,1294,9390,22.06,38.76471215,168,0.09,-7.012050151824951,89.62132263183594,0.042068108916282654,10382,4.409896373748779
217880,1294,9400,22.04,38.73297463,168,0.09,-5.896823406219482,77.91798400878906,0.06387003511190414,10393,3.442542552947998
218100,1294,9410,22.04,38.735004200000006,168,0.09,-4.049222469329834,65.9287109375,0.09714242815971375,10404,3.1079940795898438
218320,1294,9420,22.05,38.75477981,168,0.09,-1.015498161315918,53.722137451171875,0.14802928268909454,10415,1.926934838294983
218540,1294,9430,22.07,38.79699952000001,168,0.09,3.9065756797790527,41.95341110229492,0.22600595653057098,10426,2.2077696323394775
218780,1294,9440,22.07,38.80676416,169,0.09,12.266473770141602,28.893199920654297,0.3593789041042328,10438,4.536852836608887
218980,1294,9450,22.08,38.83461912,169,0.09,23.056583404541016,17.92131805419922,0.5297903418540955,10448,15.871702194213867
219200,1294,9460,22.08,38.83882571000001,169,0.09,38.863677978515625,5.80345344543457,0.8133834600448608,10459,43.56992721557617
219420,1294,9470,22.04,38.77545925000001,169,0.09,69.56103515625,-6.321804046630859,1.2514439821243286,10470,141.10215759277344
219640,1294,9480,22.08,38.86185991,169,0.09,121.03616333007812,-18.476511001586914,1.9292552471160889,10481,530.348388671875
219860,1294,9490,22.04,38.80304804,169,0.09,159.700439453125,-30.766857147216797,2.9793622493743896,10492,1820.29541015625
220080,1294,9500,22.03,38.768397969999995,170,0.09,294.8460693359375,-43.014930725097656,4.609586715698242,10503,5597.0283203125
220300,1294,9510,22.06,38.81357793,170,0.09,451.23876953125,-55.21360778808594,7.146114349365234,10514,16428.990234375
220520,1294,9520,22.03,38.77670261,170,0.09,721.7151489257812,-68.37614440917969,11.098895072937012,10525,45366.36328125
220740,1294,9530,22.04,38.78410611000001,170,0.09,1093.933349609375,-80.5909423828125,17.280452728271484,10536,120412.6953125
220980,1294,9540,22.09,38.84718865,170,0.09,1717.8076171875,-93.91256713867188,28.067468643188477,10548,338622.96875
221180,1294,9550,22.09,38.84140348,170,0.09,2771.260498046875,-105.28350830078125,42.11650085449219,10558,809365.875
221420,1294,9560,22.08,38.836828839999995,171,0.09,4141.73486328125,-119.47466278076172,68.68650817871094,10570,2189265.0
221640,1294,9570,22.09,38.84474468,171,0.09,6418.91796875,-132.16928100585938,107.77339935302734,10581,5484082.5
221860,1294,9580,22.08,38.80625871,171,0.09,10332.796875,-144.3421630859375,169.4528350830078,10592,13910489.0
222080,1294,9590,22.12,38.841737800000004,171,0.09,16783.216796875,-157.77944946289062,266.8254089355469,10603,34546564.0
222280,1294,9600,22.14,38.88815435000001,171,0.09,24740.66796875,-170.06103515625,403.96759033203125,10613,78890752.0
222540,1294,9610,22.14,38.89271775,171,0.09,43939.94140625,-184.89137268066406,694.3706665039062,10626,236803888.0
222720,1294,9620,22.13,38.86540163,172,0.09,62819.4453125,-196.13204956054688,1011.779541015625,10635,505112352.0
223000,1294,9630,22.15,38.89332293,172,0.09,114250.0390625,-211.12664794921875,1822.4552001953125,10649,1639086592.0
223160,1294,9640,22.08,38.79629868000001,172,0.09,161423.453125,-222.0635528564453,2554.249755859375,10657,3222657536.0
223440,1294,9650,22.04,38.74392502999999,172,0.09,291327.28125,-237.48727416992188,4625.08935546875,10671,10541491200.0
223600,1294,9660,22.05,38.75198414,172,0.09,414793.21875,-247.69525146484375,6501.9453125,10679,20818896896.0
223880,1294,9670,22.06,38.781250840000006,172,0.09,747380.25,-264.12176513671875,11829.9794921875,10693,68662308864.0
224040,1294,9680,22.03,38.72633043,173,0.09,1029967.0625,-275.06658935546875,16675.18359375,10701,135404847104.0
224320,1294,9690,21.99,38.68140065,173,0.09,1870587.125,-291.35498046875,30490.791015625,10715,454566477824.0
224480,1294,9700,21.98,38.65334823,173,0.09,2676323.5,-302.0201416015625,43115.3671875,10723,910298578944.0
224760,1294,9710,21.97,38.625122139999995,173,0.09,4902637.0,-317.73443603515625,79256.7578125,10737,3068231155712.0
224940,1294,9720,21.98,38.62964187,173,0.09,7255240.0,-329.1341552734375,117454.7109375,10746,6793194897408.0
225180,1294,9730,21.92,38.545537089999996,173,0.09,12025126.0,-345.2506103515625,198919.96875,10758,19597835108352.0
225360,1294,9740,21.96,38.59402972,174,0.09,17859244.0,-354.4105529785156,295713.96875,10767,43978808360960.0
225640,1294,9750,21.97,38.60490587,174,0.09,32457836.0,-372.9549255371094,549313.1875,10781,154325842132992.0
225800,1293,9760,21.97,38.581594900000006,174,0.09,45440056.0,-381.719970703125,783575.625,10789,321138865471488.0
226080,1293,9770,21.98,38.57997889,174,0.09,81708400.0,-400.2429504394531,1462672.75,10803,1196017798086656.0
226240,1293,9780,22.03,38.661597320000006,174,0.09,111895896.0,-412.0531921386719,2093332.625,10811,2513197428899840.0
226520,1293,9790,22.07,38.732340359999995,175,0.09,197531136.0,-429.25189208984375,3931285.0,10825,9552919946854400.0
226680,1293,9800,22.07,38.74724714,175,0.09,268907328.0,-436.73480224609375,5644037.0,10833,2.020271870653235e+16
226960,1293,9810,22.11,38.79737147000001,175,0.09,470641024.0,-456.125244140625,10650303.0,10847,7.567747837434266e+16
227120,1293,9820,22.12,38.82445518,175,0.09,644044608.0,-466.70135498046875,15329886.0,10855,1.6621757081740902e+17
227400,1293,9830,22.15,38.86778674000001,175,0.09,1137445632.0,-482.8505859375,29059956.0,10869,6.36243948284674e+17
227560,1293,9840,22.13,38.84728068,175,0.09,1587172608.0,-494.4597473144531,41951104.0,10877,1.3881293068985958e+18
227820,1293,9850,22.09,38.77371186999999,176,0.09,2742144768.0,-511.4986572265625,76381632.0,10890,4.830031985273471e+18
