time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/episodes,rollout/ep_len_mean,time/fps,train/n_updates,train/actor_loss,train/ent_coef_loss,train/ent_coef,train/critic_loss,train/learning_rate
9,18.176268,19520,890,21.42,2079,475,-3.8732075691223145,-0.0240204818546772,0.9952517747879028,4.300971984863281,1e-05
9,18.225714,19740,900,21.32,2063,486,-3.8073079586029053,-0.024522699415683746,0.9951419830322266,4.565304756164551,1e-05
9,17.074894,19840,910,20.68,2052,491,-3.8883371353149414,-0.024647610262036324,0.9950921535491943,4.620273590087891,1e-05
9,16.025719,20060,920,20.07,2036,502,-4.036358833312988,-0.02553720586001873,0.9949824213981628,4.2983622550964355,1e-05
10,15.82445,20280,930,19.74,2020,513,-3.970322370529175,-0.025848273187875748,0.9948725700378418,4.472187042236328,1e-05
10,14.839569,20460,940,19.34,2009,522,-4.0073981285095215,-0.02638925239443779,0.9947828054428101,4.549858570098877,1e-05
10,15.103412,20700,950,19.35,1991,534,-4.107330322265625,-0.02693581022322178,0.9946630597114563,4.442263603210449,1e-05
10,15.896043,20920,960,19.85,1979,545,-4.236192226409912,-0.027605395764112473,0.99455326795578,4.760323524475098,1e-05
10,16.727032,21160,970,20.39,1965,557,-4.238983154296875,-0.028079617768526077,0.9944334626197815,4.212245464324951,1e-05
10,16.776382,21360,980,20.88,1955,567,-4.148373126983643,-0.028655366972088814,0.9943336844444275,4.484386920928955,1e-05
11,16.255274,21500,990,20.68,1949,574,-4.298896789550781,-0.02896798774600029,0.9942639470100403,4.572599411010742,1e-05
11,15.709223,21720,1000,20.18,1938,585,-4.284481525421143,-0.029597964137792587,0.9941543340682983,4.95732307434082,1e-05
11,15.662861,21940,1010,20.04,1928,596,-4.352382659912109,-0.03015904873609543,0.994044840335846,4.716169357299805,1e-05
11,16.122293,22180,1020,20.72,1914,608,-4.562497138977051,-0.030857820063829422,0.9939253330230713,4.044650077819824,1e-05
11,16.678425,22380,1030,21.12,1906,618,-4.453486442565918,-0.031242521479725838,0.9938256740570068,4.658326148986816,1e-05
11,16.948841,22600,1040,21.33,1898,629,-4.590032577514648,-0.03182092308998108,0.9937161207199097,4.038363456726074,1e-05
12,17.653126,22840,1050,21.51,1890,641,-4.467555522918701,-0.03236469626426697,0.9935965538024902,4.509195327758789,1e-05
12,17.414312,23060,1060,21.39,1879,652,-4.55333137512207,-0.033070459961891174,0.9934871196746826,4.022128105163574,1e-05
12,16.698786,23280,1070,21.16,1864,663,-4.68758487701416,-0.03357117250561714,0.993377685546875,4.448911666870117,1e-05
12,16.648659,23500,1080,20.83,1856,674,-4.761129379272461,-0.03410565108060837,0.9932681918144226,4.349386215209961,1e-05
12,18.011457,23720,1090,21.34,1845,685,-4.736231803894043,-0.03460097312927246,0.9931588172912598,4.283562183380127,1e-05
13,17.796032,23920,1100,21.22,1839,695,-5.008240699768066,-0.03533078357577324,0.9930593371391296,4.435505390167236,1e-05
13,18.967667,24120,1110,21.98,1831,705,-4.689925193786621,-0.03558056429028511,0.99295973777771,4.475568771362305,1e-05
13,18.699663,24280,1120,21.52,1822,713,-5.001543998718262,-0.03607199713587761,0.9928801655769348,5.058157920837402,1e-05
13,17.974695,24480,1130,20.77,1814,723,-4.97097635269165,-0.03662220016121864,0.9927805662155151,4.576654434204102,1e-05
13,17.846903,24720,1140,20.75,1806,735,-5.0599260330200195,-0.03722640499472618,0.9926612377166748,4.730218887329102,1e-05
13,17.484337,24880,1150,20.82,1801,743,-4.98781156539917,-0.037517376244068146,0.9925815463066101,4.5330610275268555,1e-05
13,18.103912,25060,1160,20.76,1795,752,-5.120102405548096,-0.03809204325079918,0.9924921989440918,4.674509048461914,1e-05
