time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
22,1250,22.777552,26560,23.82,1206,-0.19167333841323853,3.5572080612182617,-10.61518383026123,827,4.641588833612782e-05,0.9623782634735107
22,1260,23.314587,26800,24.36,1196,-0.19553658366203308,3.147611618041992,-10.726702690124512,839,4.641588833612782e-05,0.9618443846702576
22,1270,24.168816,27100,25.08,1188,-0.19704779982566833,4.654781341552734,-11.285380363464355,854,4.641588833612782e-05,0.9611778855323792
22,1280,23.52102,27240,24.86,1185,-0.19884657859802246,3.140465021133423,-11.253862380981445,861,4.641588833612782e-05,0.9608671069145203
23,1290,22.78729,27540,24.79,1179,-0.2024821788072586,3.016277313232422,-11.26852798461914,876,4.641588833612782e-05,0.9602040648460388
23,1300,23.354637,27860,25.14,1171,-0.20454010367393494,3.4389123916625977,-11.327037811279297,892,4.641588833612782e-05,0.9594971537590027
24,1310,21.452154,28100,24.11,1167,-0.2088465839624405,4.65224552154541,-11.438699722290039,904,4.641588833612782e-05,0.9589681029319763
24,1320,22.171577,28360,24.12,1161,-0.2114691436290741,3.3061201572418213,-11.754505157470703,917,4.641588833612782e-05,0.9583953022956848
24,1330,23.7539,28620,25.36,1158,-0.21388544142246246,2.399881362915039,-11.868069648742676,930,4.641588833612782e-05,0.9578223824501038
25,1340,23.370173,29100,25.31,1153,-0.2166559100151062,5.829493522644043,-12.344243049621582,954,4.641588833612782e-05,0.9567663073539734
25,1350,24.136995,29380,25.96,1149,-0.22133071720600128,4.690359115600586,-12.398639678955078,968,4.641588833612782e-05,0.9561529159545898
26,1360,26.78956,29720,27.12,1142,-0.22739025950431824,3.455026865005493,-12.758367538452148,985,4.641588833612782e-05,0.955409586429596
26,1370,29.904165,30020,28.58,1139,-0.22427228093147278,2.411679983139038,-12.534997940063477,1000,4.641588833612782e-05,0.9547536373138428
26,1380,29.937761,30300,29.5,1135,-0.23204991221427917,4.318171501159668,-12.696847915649414,1014,4.641588833612782e-05,0.9541437029838562
26,1390,32.127563,30560,30.28,1134,-0.23357200622558594,2.4793481826782227,-13.161299705505371,1027,4.641588833612782e-05,0.953577995300293
27,1400,31.816301,31060,29.98,1130,-0.24068251252174377,3.635380983352661,-13.435546875,1052,4.641588833612782e-05,0.9524936079978943
27,1410,35.122856,31320,31.53,1125,-0.2411784678697586,3.8404722213745117,-13.412191390991211,1065,4.641588833612782e-05,0.9519307613372803
28,1420,34.65781,31680,31.57,1118,-0.24702978134155273,3.246488332748413,-13.339421272277832,1083,4.641588833612782e-05,0.9511532783508301
28,1430,35.931046,31980,32.44,1114,-0.24428236484527588,4.5577545166015625,-13.56549072265625,1098,4.641588833612782e-05,0.9505063891410828
29,1440,37.11452,32480,32.6,1109,-0.2528306245803833,4.879693984985352,-14.248590469360352,1123,4.641588833612782e-05,0.9494308233261108
29,1450,39.05885,32880,34.14,1104,-0.2543569803237915,3.339634895324707,-14.410725593566895,1143,4.641588833612782e-05,0.9485743045806885
30,1460,41.239445,33300,36.28,1097,-0.2575245499610901,5.024297714233398,-14.532735824584961,1164,4.641588833612782e-05,0.9476776719093323
30,1470,39.061188,33740,35.69,1089,-0.2637205421924591,4.098568439483643,-14.385109901428223,1186,4.641588833612782e-05,0.9467402100563049
31,1480,42.0875,34000,36.63,1086,-0.264507919549942,5.869570255279541,-14.528387069702148,1199,4.641588833612782e-05,0.9461873173713684
31,1490,42.188522,34400,37.01,1082,-0.2721555233001709,5.20637321472168,-14.884705543518066,1219,4.641588833612782e-05,0.9453389048576355
32,1500,45.038143,34880,38.59,1078,-0.27384719252586365,4.691037178039551,-15.387886047363281,1243,4.641588833612782e-05,0.944322407245636
33,1510,44.775932,35460,38.8,1073,-0.27869582176208496,3.148711919784546,-15.904555320739746,1272,4.641588833612782e-05,0.9431020617485046
33,1520,47.32422,35880,42.28,1069,-0.2819119691848755,6.310496807098389,-15.62310791015625,1293,4.641588833612782e-05,0.9422215819358826
34,1530,46.719536,36360,41.83,1063,-0.28695255517959595,5.133405685424805,-16.416305541992188,1317,4.641588833612782e-05,0.9412184953689575
34,1540,46.09359,36780,43.2,1060,-0.2910475730895996,4.146771430969238,-16.40669822692871,1338,4.641588833612782e-05,0.9403444528579712
35,1550,43.69931,37140,41.8,1057,-0.2939625382423401,6.204462051391602,-16.697620391845703,1356,4.641588833612782e-05,0.9395973682403564
35,1560,44.152725,37580,41.6,1053,-0.29097703099250793,6.927886009216309,-16.618751525878906,1378,4.641588833612782e-05,0.938681423664093
36,1570,45.084816,38020,42.19,1047,-0.2990538477897644,5.250631809234619,-17.037002563476562,1400,4.641588833612782e-05,0.9377729296684265
36,1580,46.10852,38380,42.38,1042,-0.30271387100219727,5.788425445556641,-17.305696487426758,1418,4.641588833612782e-05,0.9370341897010803
37,1590,47.41825,38640,43.84,1039,-0.30352652072906494,12.632638931274414,-17.270971298217773,1431,4.641588833612782e-05,0.9365015625953674
37,1600,44.981766,39120,42.97,1034,-0.31185150146484375,5.479488372802734,-17.904672622680664,1455,4.641588833612782e-05,0.9355140924453735
38,1610,44.61755,39480,42.52,1029,-0.3059779405593872,6.361265659332275,-17.361919403076172,1473,4.641588833612782e-05,0.934776782989502
38,1620,43.318554,39840,39.84,1026,-0.31903234124183655,6.4257659912109375,-17.650970458984375,1491,4.641588833612782e-05,0.9340401887893677
39,1630,44.314274,40120,40.24,1023,-0.3175726532936096,7.464903831481934,-17.824562072753906,1505,4.641588833612782e-05,0.9334635138511658
39,1640,45.16037,40480,39.64,1018,-0.318851113319397,6.887243270874023,-18.546478271484375,1523,4.641588833612782e-05,0.9327223300933838
40,1650,45.50867,40800,39.11,1014,-0.3196064233779907,6.746199607849121,-18.16079330444336,1539,4.641588833612782e-05,0.9320720434188843
40,1660,46.35963,41240,38.74,1010,-0.3274962902069092,3.3976731300354004,-19.138118743896484,1561,4.641588833612782e-05,0.9311743378639221
41,1670,45.541153,41700,37.73,1007,-0.3253965377807617,5.027324199676514,-19.06382942199707,1584,4.641588833612782e-05,0.9302388429641724
41,1680,43.558857,41980,36.71,1004,-0.33431535959243774,11.728203773498535,-19.349597930908203,1598,4.641588833612782e-05,0.929670512676239
42,1690,43.79419,42400,35.92,998,-0.3310515284538269,6.91278076171875,-19.418193817138672,1619,4.641588833612782e-05,0.9288179874420166
42,1700,46.00127,42640,36.49,996,-0.3332609534263611,3.6179885864257812,-19.44843101501465,1631,4.641588833612782e-05,0.9283345341682434
43,1710,44.870277,43020,34.9,994,-0.3408603072166443,7.9304656982421875,-19.56033706665039,1650,4.641588833612782e-05,0.927568256855011
43,1720,46.456905,43340,35.76,993,-0.3470800518989563,13.18962574005127,-20.12979507446289,1666,4.641588833612782e-05,0.926922619342804
44,1730,46.686615,43860,35.22,992,-0.35381174087524414,7.741670608520508,-19.809608459472656,1692,4.641588833612782e-05,0.9258734583854675
44,1740,48.130005,44300,35.91,990,-0.36281681060791016,12.432403564453125,-20.431936264038086,1714,4.641588833612782e-05,0.924985408782959
45,1750,49.74478,44860,36.77,988,-0.3573574721813202,7.642098903656006,-20.83974838256836,1742,4.641588833612782e-05,0.9238526225090027
45,1760,49.395496,45240,37.57,987,-0.35974323749542236,14.821634292602539,-21.374591827392578,1761,4.641588833612782e-05,0.9230891466140747
46,1770,49.180576,45620,38.25,986,-0.370309054851532,9.437185287475586,-21.222278594970703,1780,4.641588833612782e-05,0.9223230481147766
46,1780,50.556183,45900,38.95,985,-0.3633705973625183,12.912336349487305,-21.600727081298828,1794,4.641588833612782e-05,0.9217595458030701
47,1790,50.055714,46280,39.08,983,-0.3726404011249542,6.205571174621582,-21.549602508544922,1813,4.641588833612782e-05,0.9209967255592346
47,1800,49.607376,46720,38.95,982,-0.38516131043434143,8.832737922668457,-21.368772506713867,1835,4.641588833612782e-05,0.9201118350028992
48,1810,50.736095,47240,40.9,981,-0.37475907802581787,11.675357818603516,-22.144561767578125,1861,4.641588833612782e-05,0.9190704822540283
48,1820,50.664375,47520,40.25,980,-0.3796710968017578,3.3897833824157715,-21.9400691986084,1875,4.641588833612782e-05,0.918508768081665
49,1830,51.04978,48100,40.5,975,-0.39023542404174805,7.636232376098633,-22.314571380615234,1904,4.641588833612782e-05,0.9173503518104553
49,1840,51.69364,48420,41.84,976,-0.38921380043029785,12.688587188720703,-22.453998565673828,1920,4.641588833612782e-05,0.9167097210884094
49,1850,51.846836,48780,42.34,976,-0.40163594484329224,11.175247192382812,-23.10687255859375,1938,4.641588833612782e-05,0.9159900546073914
50,1860,52.702446,49160,41.73,977,-0.38198399543762207,10.119012832641602,-23.255403518676758,1957,4.641588833612782e-05,0.915228545665741
50,1870,53.454952,49520,41.02,977,-0.3979528248310089,12.333658218383789,-23.100055694580078,1975,4.641588833612782e-05,0.9145091772079468
51,1880,52.717873,49920,40.7,978,-0.3892684578895569,4.85140323638916,-23.22798728942871,1995,4.641588833612782e-05,0.9137073755264282
