time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/ent_coef_loss,train/critic_loss,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef
60,1560,49.759014,37560,40.67,619,-0.2972458600997925,7.040001392364502,-16.81013298034668,1377,4.641588833612782e-05,0.9388114809989929
60,1570,48.760223,37880,40.11,621,-0.2905566692352295,4.7631635665893555,-16.941160202026367,1393,4.641588833612782e-05,0.9381524324417114
61,1580,46.62158,38240,37.18,623,-0.2967442572116852,4.390056610107422,-17.335533142089844,1411,4.641588833612782e-05,0.9374164938926697
61,1590,46.076855,38640,37.65,625,-0.30091631412506104,7.401679039001465,-18.037792205810547,1431,4.641588833612782e-05,0.9366004467010498
62,1600,44.29553,39080,34.21,627,-0.30279457569122314,3.9189021587371826,-17.7462158203125,1453,4.641588833612782e-05,0.9357007741928101
62,1610,43.434498,39340,32.88,628,-0.30185645818710327,11.48267936706543,-17.83814239501953,1466,4.641588833612782e-05,0.9351712465286255
62,1620,43.994884,39700,34.0,630,-0.31396257877349854,12.1657075881958,-18.557567596435547,1484,4.641588833612782e-05,0.9344414472579956
65,1630,46.313858,40180,33.87,612,-0.3156309425830841,5.2773027420043945,-18.648527145385742,1508,4.641588833612782e-05,0.9334620833396912
65,1640,47.508987,40500,35.1,614,-0.30872684717178345,4.974795818328857,-17.962839126586914,1524,4.641588833612782e-05,0.9328111410140991
66,1650,48.138184,40780,34.92,615,-0.3153049051761627,6.925506591796875,-18.565536499023438,1538,4.641588833612782e-05,0.9322465658187866
66,1660,48.522945,41100,36.16,617,-0.31686902046203613,5.936515808105469,-19.213056564331055,1554,4.641588833612782e-05,0.9315972328186035
66,1670,47.755905,41460,35.28,619,-0.32645025849342346,2.2933812141418457,-18.679502487182617,1572,4.641588833612782e-05,0.9308682084083557
67,1680,47.932438,41900,35.17,621,-0.31991589069366455,8.78803825378418,-19.821847915649414,1594,4.641588833612782e-05,0.9299802780151367
67,1690,48.347244,42300,34.51,623,-0.3220069408416748,8.714656829833984,-19.27238655090332,1614,4.641588833612782e-05,0.9291759729385376
68,1700,49.39845,42560,35.68,624,-0.33472877740859985,10.281465530395508,-19.577407836914062,1627,4.641588833612782e-05,0.9286540746688843
68,1710,50.53398,43000,36.72,626,-0.3325500190258026,8.731825828552246,-19.970088958740234,1649,4.641588833612782e-05,0.9277724027633667
68,1720,50.96552,43240,36.39,628,-0.3196289837360382,11.236915588378906,-19.620258331298828,1661,4.641588833612782e-05,0.9272904396057129
