time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
40840,37,1210,121.50941,1091,66.7,0.00020691380811147902,9.114259719848633,1541,-20.433481216430664,0.7317532896995544,-1.3984591960906982
42080,38,1220,125.80088,1087,67.93,0.00020691380811147902,2.9023399353027344,1603,-21.471847534179688,0.7228805422782898,-1.437267541885376
42500,39,1230,133.33488,1085,70.58,0.00020691380811147902,2.1578142642974854,1624,-21.699321746826172,0.7199299335479736,-1.5169810056686401
43940,40,1240,141.58498,1078,73.06,0.00020691380811147902,5.0167317390441895,1696,-22.159337997436523,0.7098379731178284,-1.5695044994354248
44340,41,1250,147.97444,1075,75.24,0.00020691380811147902,5.942692756652832,1716,-22.681785583496094,0.707051157951355,-1.5715491771697998
45720,42,1260,153.97235,1067,77.39,0.00020691380811147902,13.081805229187012,1785,-24.397768020629883,0.6975089311599731,-1.6559295654296875
46160,43,1270,159.0862,1065,79.28,0.00020691380811147902,6.106574058532715,1807,-24.553958892822266,0.6944865584373474,-1.664616584777832
47200,44,1280,164.95308,1059,81.33,0.00020691380811147902,7.965612888336182,1859,-24.607646942138672,0.6874508857727051,-1.676011562347412
47940,45,1290,171.03677,1053,83.64,0.00020691380811147902,6.360229015350342,1896,-24.838459014892578,0.6825061440467834,-1.6400562524795532
48900,46,1300,178.0095,1058,86.62,0.00020691380811147902,5.708830833435059,1944,-25.545372009277344,0.6762005686759949,-1.717132806777954
49840,46,1310,179.76361,1064,87.69,0.00020691380811147902,4.888694763183594,1991,-27.11435317993164,0.6700602173805237,-1.7668954133987427
