time/total_timesteps,time/time_elapsed,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/learning_rate,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef,train/ent_coef_loss
26320,46,1010,51.76326,561,43.21,0.00020691380811147902,1.0550687313079834,815,-11.963031768798828,0.8459432721138,-0.8193188905715942
26860,47,1020,56.078793,566,45.71,0.00020691380811147902,3.685985565185547,842,-12.14042854309082,0.8413445353507996,-0.8371835947036743
27440,48,1030,57.931137,570,47.25,0.00020691380811147902,1.366474986076355,871,-12.712602615356445,0.8364415168762207,-0.868274986743927
27960,48,1040,60.86306,574,48.41,0.00020691380811147902,3.86313533782959,897,-12.693290710449219,0.8320733904838562,-0.8913469314575195
28440,49,1050,60.9111,578,49.02,0.00020691380811147902,1.0541021823883057,921,-13.257539749145508,0.8280644416809082,-0.9003570675849915
29040,49,1060,61.918964,583,49.39,0.00020691380811147902,1.921473503112793,951,-13.225671768188477,0.823100209236145,-0.9275574088096619
29680,50,1070,63.22226,589,50.11,0.00020691380811147902,1.9467360973358154,983,-13.99358081817627,0.8178263306617737,-0.9630213975906372
30160,53,1080,63.79127,563,50.13,0.00020691380811147902,2.3647301197052,1007,-13.359432220458984,0.8139083385467529,-0.9596447348594666
30700,54,1090,65.8674,567,51.31,0.00020691380811147902,4.847044467926025,1034,-14.384387969970703,0.8095420598983765,-1.0148168802261353
31300,55,1100,71.77414,568,54.66,0.00020691380811147902,4.852533340454102,1064,-14.620954513549805,0.8047122359275818,-1.0171231031417847
32000,55,1110,72.707214,573,55.68,0.00020691380811147902,2.0205633640289307,1099,-14.902527809143066,0.7990977168083191,-1.0619759559631348
32540,56,1120,75.11919,577,55.95,0.00020691380811147902,1.78411066532135,1126,-15.320269584655762,0.7947989702224731,-1.0752379894256592
32900,56,1130,79.364815,579,56.57,0.00020691380811147902,2.972519874572754,1144,-15.59613037109375,0.791965663433075,-1.0838921070098877
33420,57,1140,78.33194,582,55.03,0.00020691380811147902,2.9213504791259766,1170,-16.314117431640625,0.7878848314285278,-1.121962070465088
34040,58,1150,79.48594,586,55.3,0.00020691380811147902,2.799041271209717,1201,-16.541950225830078,0.7830643653869629,-1.1379914283752441
34540,58,1160,80.95022,589,55.44,0.00020691380811147902,3.1080400943756104,1226,-16.558265686035156,0.779187798500061,-1.188476324081421
35040,59,1170,82.9711,591,55.31,0.00020691380811147902,4.081948757171631,1251,-16.71433448791504,0.7753192186355591,-1.1698031425476074
35480,59,1180,85.28562,593,56.11,0.00020691380811147902,3.121340751647949,1273,-17.04259490966797,0.7719617486000061,-1.2060645818710327
35960,60,1190,86.423195,595,55.61,0.00020691380811147902,1.5949093103408813,1297,-17.380268096923828,0.7682886719703674,-1.1844449043273926
36600,61,1200,84.5265,599,52.56,0.00020691380811147902,5.3122477531433105,1329,-17.80278778076172,0.7634325623512268,-1.231001377105713
37220,61,1210,88.61345,603,53.28,0.00020691380811147902,2.4352540969848633,1360,-17.88882827758789,0.7587404251098633,-1.2611157894134521
37820,62,1220,88.383606,606,53.04,0.00020691380811147902,4.861724376678467,1390,-18.497644424438477,0.7542527318000793,-1.298107385635376
38340,62,1230,89.913025,609,53.17,0.00020691380811147902,4.804234504699707,1416,-18.53710174560547,0.7504076957702637,-1.3193563222885132
38920,63,1240,94.14586,612,55.39,0.00020691380811147902,5.867195129394531,1445,-19.54254150390625,0.7461143136024475,-1.3138196468353271
39760,64,1250,98.45462,617,56.01,0.00020691380811147902,5.767921447753906,1487,-19.58506202697754,0.7399823069572449,-1.3667232990264893
40440,72,1260,103.76159,555,57.33,0.00020691380811147902,2.8719472885131836,1521,-19.7137393951416,0.7350601553916931,-1.3448739051818848
41560,73,1270,112.159035,561,61.36,0.00020691380811147902,6.027726173400879,1577,-20.686717987060547,0.7270803451538086,-1.4029611349105835
42260,74,1280,120.74104,565,64.33,0.00020691380811147902,3.9088313579559326,1612,-21.455352783203125,0.7221230268478394,-1.4374618530273438
42840,75,1290,128.35915,568,67.29,0.00020691380811147902,5.792197227478027,1641,-21.432907104492188,0.7180608510971069,-1.4629008769989014
44000,76,1300,137.91606,574,70.97,0.00020691380811147902,7.690533638000488,1699,-21.76621437072754,0.7099774479866028,-1.4949274063110352
44600,77,1310,146.01996,578,73.57,0.00020691380811147902,8.216139793395996,1729,-23.062442779541016,0.7058599591255188,-1.5460596084594727
45820,78,1320,153.73653,583,76.15,0.00020691380811147902,7.871951580047607,1790,-23.24235725402832,0.6976010203361511,-1.565496802330017
46400,79,1330,164.65799,586,80.25,0.00020691380811147902,5.777626991271973,1819,-23.588054656982422,0.6936568021774292,-1.6224489212036133
47500,80,1340,171.8042,591,82.07,0.00020691380811147902,4.367072582244873,1874,-24.495174407958984,0.6863232254981995,-1.5933036804199219
48160,80,1350,178.68024,594,85.03,0.00020691380811147902,3.332796096801758,1907,-25.119091033935547,0.681975245475769,-1.6427984237670898
49440,82,1360,184.12341,601,87.0,0.00020691380811147902,4.259479522705078,1971,-25.424354553222656,0.6736921072006226,-1.6254030466079712
49860,82,1370,185.6517,603,86.78,0.00020691380811147902,1.1518789529800415,1992,-26.400358200073242,0.6709985136985779,-1.705115556716919
