time/fps,time/time_elapsed,time/total_timesteps,time/episodes,rollout/ep_rew_mean,rollout/ep_len_mean,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/learning_rate,train/ent_coef,train/n_updates
1166,30,35420,1050,126.53785031999998,70.93,-14.727922439575195,-3.2558212280273438,1.5395710468292236,0.0005994842503189409,0.475810170173645,1270
1153,31,36660,1060,135.26539024,72.69,-15.584945678710938,-3.395392894744873,1.8884074687957764,0.0005994842503189409,0.4597054123878479,1332
1147,32,37460,1070,146.20779737000004,76.05,-15.978584289550781,-3.4546828269958496,0.7958528995513916,0.0005994842503189409,0.4496961832046509,1372
1141,33,38540,1080,159.93246316000005,80.65,-16.087791442871094,-3.5610475540161133,3.2018842697143555,0.0005994842503189409,0.4366152584552765,1426
1137,34,39380,1090,169.75734428000004,83.83,-17.169326782226562,-3.6427512168884277,2.577261209487915,0.0005994842503189409,0.4267425239086151,1468
1128,35,40340,1100,178.21610814,86.24,-17.33375358581543,-3.8749866485595703,3.594907283782959,0.0005994842503189409,0.41575926542282104,1516
1123,36,41280,1110,186.53006404999996,88.82,-17.976917266845703,-3.78336763381958,2.0310823917388916,0.0005994842503189409,0.4052693247795105,1563
1116,37,42360,1120,192.88531419000003,90.93,-18.24613380432129,-3.6944632530212402,6.999455451965332,0.0005994842503189409,0.39363914728164673,1617
1111,38,43180,1130,199.57817101,92.83,-19.497079849243164,-3.8949382305145264,3.4972596168518066,0.0005994842503189409,0.3851678967475891,1658
1106,39,44160,1140,205.84863722999998,95.09,-20.236709594726562,-4.110426902770996,6.7157416343688965,0.0005994842503189409,0.3753378987312317,1707
1098,41,45100,1150,206.38483091999998,94.62,-20.46684455871582,-3.9256467819213867,1.2039790153503418,0.0005994842503189409,0.3660624921321869,1754
1093,42,46120,1160,207.52607682,95.04,-20.790584564208984,-4.174440860748291,2.3422434329986572,0.0005994842503189409,0.3564583957195282,1805
1090,43,46980,1170,209.54809542999996,95.55,-21.229618072509766,-4.101247310638428,6.40366268157959,0.0005994842503189409,0.34861910343170166,1848
1087,44,47940,1180,209.81680547,94.94,-21.22101593017578,-4.283206939697266,5.617854118347168,0.0005994842503189409,0.3402230441570282,1896
1083,44,48720,1190,209.01526896,94.43,-22.230356216430664,-4.185675621032715,2.284458637237549,0.0005994842503189409,0.33340272307395935,1935
1081,46,49840,1200,208.10273705,94.09,-22.5168399810791,-4.10793399810791,9.19837760925293,0.0005994842503189409,0.323824405670166,1991
1079,46,50560,1210,207.69399124,93.89,-23.237018585205078,-4.354205131530762,7.383182525634766,0.0005994842503189409,0.3179393708705902,2027
1075,47,51580,1220,207.17949417000003,93.53,-23.27374839782715,-4.197587013244629,4.7743730545043945,0.0005994842503189409,0.3099137842655182,2078
1072,48,52520,1230,206.26329326000004,92.99,-24.369340896606445,-4.136029243469238,6.267263412475586,0.0005994842503189409,0.3026939034461975,2125
1068,49,53360,1240,205.94593407000005,92.58,-25.397178649902344,-4.358887195587158,1.6728434562683105,0.0005994842503189409,0.29641130566596985,2167
1064,50,54260,1250,205.55062735999996,92.19,-25.966310501098633,-4.701361656188965,4.115938663482666,0.0005994842503189409,0.28980693221092224,2212
1062,51,55160,1260,204.47854261,91.51,-25.498397827148438,-4.340465068817139,6.05623197555542,0.0005994842503189409,0.28334173560142517,2257
1060,52,55980,1270,201.8601164,90.27,-26.117616653442383,-4.643176078796387,6.748559951782227,0.0005994842503189409,0.2776537835597992,2298
1058,53,56940,1280,200.1662373,89.67,-26.369619369506836,-4.1763916015625,1.8437244892120361,0.0005994842503189409,0.27115345001220703,2346
1057,54,57780,1290,200.57978878999998,89.77,-26.694074630737305,-4.195111274719238,7.368694305419922,0.0005994842503189409,0.2655838131904602,2388
1053,55,58620,1300,199.42404948999996,89.25,-28.087627410888672,-4.292280673980713,4.393396854400635,0.0005994842503189409,0.2600952684879303,2430
1050,56,59540,1310,197.53077749000005,88.53,-28.127113342285156,-4.722522735595703,7.7004899978637695,0.0005994842503189409,0.25419098138809204,2476
1049,57,60300,1320,195.67804629000003,87.93,-28.94933319091797,-4.915278911590576,6.095581531524658,0.0005994842503189409,0.24958087503910065,2514
1046,58,61300,1330,193.87103198000005,87.33,-30.058324813842773,-4.691828727722168,2.9046883583068848,0.0005994842503189409,0.24333074688911438,2564
1045,59,62040,1340,193.23942505,87.23,-29.860492706298828,-4.793665409088135,4.78375768661499,0.0005994842503189409,0.2388719767332077,2601
1042,60,63080,1350,191.86293773999998,86.94,-30.48544692993164,-4.615548133850098,8.12484359741211,0.0005994842503189409,0.23264747858047485,2653
1041,61,63780,1360,190.92511992999997,86.84,-30.812549591064453,-5.289800643920898,4.592634201049805,0.0005994842503189409,0.2284662127494812,2688
1039,62,64840,1370,189.52480881999998,86.48,-30.96783447265625,-4.9867777824401855,4.863292217254639,0.0005994842503189409,0.22225475311279297,2741
1038,63,65520,1380,189.62886066,86.6,-31.305709838867188,-4.639429092407227,1.9283778667449951,0.0005994842503189409,0.218415305018425,2775
1036,64,66560,1390,189.4364858,86.52,-32.16939163208008,-4.4012298583984375,5.647292137145996,0.0005994842503189409,0.2128797024488449,2827
1034,64,67200,1400,189.15686139999994,86.45,-32.37868118286133,-4.836962699890137,5.338151931762695,0.0005994842503189409,0.20952387154102325,2859
1032,66,68260,1410,188.95551528,86.48,-32.980873107910156,-5.165661334991455,7.194913864135742,0.0005994842503189409,0.2041216790676117,2912
1030,66,68920,1420,188.85059904,86.4,-32.87939453125,-5.673663139343262,2.3561272621154785,0.0005994842503189409,0.20078842341899872,2945
1027,68,69940,1430,189.14011053000002,86.59,-33.517845153808594,-5.336625576019287,2.1165008544921875,0.0005994842503189409,0.19588084518909454,2996
1025,68,70640,1440,188.81702584,86.55,-33.883750915527344,-5.001274108886719,5.980361461639404,0.0005994842503189409,0.19246670603752136,3031
1024,69,71680,1450,188.11581622999998,86.31,-34.5479736328125,-5.204678535461426,6.562624931335449,0.0005994842503189409,0.1874455362558365,3083
1023,70,72480,1460,189.27944913999997,86.53,-34.490169525146484,-5.138991355895996,4.589131832122803,0.0005994842503189409,0.18365268409252167,3123
1021,71,73440,1470,190.39352808999996,87.04,-35.79291534423828,-4.941361427307129,3.3485429286956787,0.0005994842503189409,0.1792849600315094,3171
1019,72,74240,1480,190.14422597000004,87.01,-35.47764587402344,-4.901124000549316,3.412882089614868,0.0005994842503189409,0.17569555342197418,3211
1018,73,75220,1490,190.63426257,87.19,-36.453651428222656,-5.145074844360352,5.957647323608398,0.0005994842503189409,0.1715962141752243,3260
1018,74,76060,1500,191.96214057999998,87.59,-37.154632568359375,-5.344749450683594,2.825610637664795,0.0005994842503189409,0.16808603703975677,3302
1017,75,77080,1510,194.21853765000003,88.23,-36.74005889892578,-5.116154670715332,6.950357437133789,0.0005994842503189409,0.1638576239347458,3353
1014,76,77980,1520,196.84383244999998,89.13,-37.95281982421875,-5.172529697418213,5.898297309875488,0.0005994842503189409,0.16021423041820526,3398
1012,77,78940,1530,197.75248899,89.44,-38.359981536865234,-5.478846549987793,3.1407504081726074,0.0005994842503189409,0.15656355023384094,3446
1011,78,79740,1540,200.28949201000003,90.19,-37.66447067260742,-4.946743011474609,5.015539169311523,0.0005994842503189409,0.15370863676071167,3486
1008,80,80800,1550,200.94340275,90.48,-39.19380187988281,-4.50931453704834,1.662808895111084,0.0005994842503189409,0.14975479245185852,3539
1007,81,81700,1560,201.16563484999995,90.7,-39.28804016113281,-5.075926780700684,2.738095760345459,0.0005994842503189409,0.1467302143573761,3584
1007,82,82740,1570,204.9995305,91.69,-40.84955978393555,-4.909189701080322,2.63533353805542,0.0005994842503189409,0.1433923840522766,3636
1005,83,83600,1580,207.01246592999996,92.15,-40.98100280761719,-5.5308637619018555,1.8995447158813477,0.0005994842503189409,0.14061620831489563,3679
1004,84,84640,1590,209.29777546999998,92.83,-40.405460357666016,-4.430591583251953,1.761763095855713,0.0005994842503189409,0.13739603757858276,3731
1003,85,85500,1600,211.232417,93.44,-42.529266357421875,-5.022560119628906,8.936301231384277,0.0005994842503189409,0.13486632704734802,3774
1002,86,86600,1610,212.67334271000004,93.82,-41.589847564697266,-4.970909118652344,5.02231502532959,0.0005994842503189409,0.13174225389957428,3829
1001,87,87440,1620,214.58041490000002,94.27,-42.733543395996094,-4.617069244384766,2.5931010246276855,0.0005994842503189409,0.12942935526371002,3871
1000,88,88520,1630,217.07311975999997,94.94,-42.331295013427734,-3.7663509845733643,8.72096061706543,0.0005994842503189409,0.12638522684574127,3925
999,89,89400,1640,217.86946942999998,95.39,-43.897918701171875,-4.079484939575195,3.528657913208008,0.0005994842503189409,0.12402283400297165,3969
998,90,90540,1650,221.95769932999997,96.68,-42.926692962646484,-3.814281463623047,9.08513069152832,0.0005994842503189409,0.12111978232860565,4026
997,91,91500,1660,226.18879144,97.87,-44.73414993286133,-4.096500396728516,3.467963218688965,0.0005994842503189409,0.1187862902879715,4074
997,92,92280,1670,225.62553872,97.78,-44.49629592895508,-5.218164443969727,13.683615684509277,0.0005994842503189409,0.11679881066083908,4113
997,93,93400,1680,226.82821769000003,98.3,-45.459232330322266,-5.2764081954956055,3.2748615741729736,0.0005994842503189409,0.11400781571865082,4169
996,94,94320,1690,227.08383146999998,98.53,-45.994224548339844,-5.1989827156066895,6.610423564910889,0.0005994842503189409,0.11159975081682205,4215
995,95,95440,1700,228.50639725999991,99.19,-46.24522399902344,-5.744854927062988,15.606189727783203,0.0005994842503189409,0.10886488854885101,4271
995,96,96320,1710,228.6870407,99.25,-47.02654266357422,-4.885214328765869,3.724052667617798,0.0005994842503189409,0.10662230849266052,4315
994,98,97580,1720,229.14881636,99.62,-47.06296157836914,-4.654537200927734,8.618499755859375,0.0005994842503189409,0.10366415232419968,4378
993,98,98300,1730,231.81543629,100.57,-47.20732879638672,-4.82805061340332,16.15302848815918,0.0005994842503189409,0.10202280431985855,4414
993,100,99540,1740,232.28298073,100.94,-47.496463775634766,-4.266056537628174,7.6132659912109375,0.0005994842503189409,0.09926341474056244,4476
992,101,100440,1750,232.05922214000006,101.19,-50.93156051635742,-4.890753746032715,4.452967643737793,0.0005994842503189409,0.09714532643556595,4521
992,102,101580,1760,228.70052268,100.65,-49.529685974121094,-5.653106212615967,7.511750221252441,0.0005994842503189409,0.09456085413694382,4578
991,103,102520,1770,229.99373709000002,101.33,-49.41322326660156,-3.3404650688171387,4.553552627563477,0.0005994842503189409,0.09244464337825775,4625
990,104,103680,1780,230.57500072000005,101.65,-50.65842056274414,-3.788341760635376,4.105001926422119,0.0005994842503189409,0.09010428190231323,4683
990,105,104600,1790,231.89637197999997,102.1,-51.88379669189453,-4.265650749206543,3.004870891571045,0.0005994842503189409,0.08825600147247314,4729
988,107,105800,1800,232.44149089,102.38,-51.64776611328125,-4.24217414855957,13.241634368896484,0.0005994842503189409,0.08611451089382172,4789
988,107,106620,1810,233.47848728,102.75,-52.76466369628906,-4.230972766876221,4.601409912109375,0.0005994842503189409,0.08454842120409012,4830
986,109,107920,1820,232.09525257999996,102.46,-52.176124572753906,-4.62434196472168,2.811893939971924,0.0005994842503189409,0.0823594480752945,4895
986,110,108560,1830,230.70704916999995,102.15,-53.230106353759766,-4.904277324676514,14.952157974243164,0.0005994842503189409,0.08118976652622223,4927
985,111,109820,1840,229.22918267000006,101.48,-51.5097770690918,-4.562644004821777,5.579869270324707,0.0005994842503189409,0.07910294085741043,4990
984,112,110560,1850,229.32144099000004,101.2,-52.370758056640625,-5.305045127868652,4.27104377746582,0.0005994842503189409,0.07795949280261993,5027
983,113,111740,1860,232.09152241000004,101.72,-54.8516731262207,-3.68015718460083,14.022444725036621,0.0005994842503189409,0.07598564028739929,5086
983,114,112860,1870,230.59406756999996,101.24,-56.083457946777344,-4.076909065246582,2.8972935676574707,0.0005994842503189409,0.0744609609246254,5142
983,115,113720,1880,231.96029666,101.9,-55.144012451171875,-2.984492778778076,2.945801258087158,0.0005994842503189409,0.0732281357049942,5185
982,116,114920,1890,236.62101278999995,103.66,-56.99213790893555,-1.9269262552261353,17.17011070251465,0.0005994842503189409,0.07165329158306122,5245
981,118,115960,1900,240.88050626,105.04,-56.43077087402344,-3.711329221725464,6.163030624389648,0.0005994842503189409,0.07041618227958679,5297
981,119,117360,1910,244.03925068,106.24,-57.16071319580078,-4.391982078552246,17.233732223510742,0.0005994842503189409,0.06856627017259598,5367
980,120,118300,1920,248.88131728000005,107.76,-56.99319076538086,-3.2629520893096924,24.578590393066406,0.0005994842503189409,0.06733550131320953,5414
980,122,119660,1930,249.79507006000006,108.05,-58.136329650878906,-3.6061220169067383,3.2429611682891846,0.0005994842503189409,0.06575196981430054,5482
980,123,120680,1940,257.85729253,110.76,-58.84344482421875,-4.070449352264404,4.562098979949951,0.0005994842503189409,0.06461440771818161,5533
979,124,122000,1950,265.08606456999996,113.21,-58.713706970214844,-3.2832906246185303,15.051299095153809,0.0005994842503189409,0.06327313184738159,5599
979,125,123120,1960,270.47952559,115.06,-60.507965087890625,-3.4731740951538086,3.4731926918029785,0.0005994842503189409,0.06213689222931862,5655
979,127,124500,1970,276.57229325,116.53,-61.22625732421875,-2.0422425270080566,4.104274749755859,0.0005994842503189409,0.06090405583381653,5724
978,128,125700,1980,282.74664788999996,118.35,-62.387062072753906,-2.0984315872192383,14.45395278930664,0.0005994842503189409,0.05996951833367348,5784
978,129,127040,1990,283.52561554,118.34,-60.661277770996094,-2.6515390872955322,16.828269958496094,0.0005994842503189409,0.058909397572278976,5851
978,130,128140,2000,284.8932696,118.32,-62.512420654296875,-2.276608943939209,8.358000755310059,0.0005994842503189409,0.05807235836982727,5906
978,132,129400,2010,287.47290377,119.06,-62.94310760498047,-2.0010271072387695,4.278262138366699,0.0005994842503189409,0.056877464056015015,5969
978,133,130440,2020,288.37158015999995,119.06,-65.33047485351562,-2.1261935234069824,9.045488357543945,0.0005994842503189409,0.05608388036489487,6021
978,134,131840,2030,294.93253216,120.48,-64.52659606933594,-2.2800464630126953,5.142698287963867,0.0005994842503189409,0.05504896864295006,6091
977,135,132720,2040,296.89642159000005,120.16,-63.02161407470703,-1.1624228954315186,12.160894393920898,0.0005994842503189409,0.05442299321293831,6135
976,137,134240,2050,296.75906396000005,119.62,-65.18013000488281,-3.0747616291046143,7.128194808959961,0.0005994842503189409,0.05345968157052994,6211
976,138,135060,2060,297.36017817,119.25,-66.08584594726562,-2.5798563957214355,3.9483160972595215,0.0005994842503189409,0.05297977849841118,6252
975,139,136540,2070,298.4414288,119.43,-65.99119567871094,-2.627013683319092,10.26395320892334,0.0005994842503189409,0.051973193883895874,6326
975,140,137500,2080,297.1258229,118.52,-64.15070343017578,-0.6272162795066833,5.639260768890381,0.0005994842503189409,0.0512704998254776,6374
975,142,138920,2090,298.09683259,118.18,-66.12826538085938,-1.6904033422470093,7.790613174438477,0.0005994842503189409,0.05021190270781517,6445
975,143,139720,2100,294.63787456,117.39,-63.9371337890625,-1.4481825828552246,10.775735855102539,0.0005994842503189409,0.049668412655591965,6485
974,144,141120,2110,291.80098175,116.62,-66.397705078125,-3.026871919631958,25.539644241333008,0.0005994842503189409,0.04872870445251465,6555
974,145,141940,2120,291.8237233,116.57,-68.48318481445312,-2.2702059745788574,10.740121841430664,0.0005994842503189409,0.048152364790439606,6596
973,147,143580,2130,289.89626559,116.24,-69.41477966308594,-2.5158169269561768,3.4124033451080322,0.0005994842503189409,0.047118525952100754,6678
973,148,144240,2140,287.51072071,115.88,-69.2010269165039,-0.9402620196342468,3.220123767852783,0.0005994842503189409,0.046598177403211594,6711
972,149,145860,2150,288.58831724999993,115.94,-68.84149169921875,-2.524118661880493,7.266800880432129,0.0005994842503189409,0.04552750289440155,6792
971,150,146520,2160,286.23250802,115.43,-69.01158905029297,-0.9835102558135986,4.330941677093506,0.0005994842503189409,0.04512578994035721,6825
971,152,148240,2170,284.73403134,114.99,-69.9534912109375,-0.9155101776123047,6.307971000671387,0.0005994842503189409,0.04450850188732147,6911
971,153,148820,2180,284.48445143000004,114.85,-70.17277526855469,0.6681479811668396,3.6143784523010254,0.0005994842503189409,0.04427586495876312,6940
971,154,150460,2190,284.12399505,115.07,-71.0760498046875,-1.3156815767288208,13.779151916503906,0.0005994842503189409,0.044036101549863815,7022
971,155,151100,2200,285.13552122,115.87,-70.65663146972656,-1.5275013446807861,26.691226959228516,0.0005994842503189409,0.04376085102558136,7054
970,157,152700,2210,284.15805148000004,115.53,-72.73512268066406,-0.6494895219802856,5.045489311218262,0.0005994842503189409,0.04309643805027008,7134
