rollout/ep_rew_mean,time/time_elapsed,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/ent_coef_loss,train/learning_rate
117.57404,48,800,64.06,545,26440,-8.891342163085938,821,0.18227028846740723,0.10638745129108429,-7.1323442459106445,0.002976351441631319
130.05069,49,810,67.9,551,27180,-9.083455085754395,858,1.1747047901153564,0.09873005747795105,-6.885280132293701,0.002976351441631319
143.75299,50,820,72.54,559,28340,-9.514368057250977,916,1.2366929054260254,0.08810795098543167,-4.418298244476318,0.002976351441631319
154.64484,51,830,74.81,564,29000,-9.955144882202148,949,1.0722211599349976,0.08276084065437317,-7.330735683441162,0.002976351441631319
165.60033,60,840,78.62,503,30240,-11.633617401123047,1011,1.233903169631958,0.0742068812251091,-4.600219249725342,0.002976351441631319
176.36919,60,850,82.85,507,30680,-11.219223976135254,1033,0.986481785774231,0.07175078243017197,-6.597373008728027,0.002976351441631319
188.94243,62,860,87.07,517,32220,-11.392021179199219,1110,1.5430866479873657,0.06368216872215271,-3.767610549926758,0.002976351441631319
200.67493,62,870,91.25,520,32700,-12.202598571777344,1134,0.35428357124328613,0.061446160078048706,-1.8607245683670044,0.002976351441631319
197.78738,64,880,90.18,529,33880,-12.141569137573242,1193,1.5658941268920898,0.05637830123305321,-2.0227060317993164,0.002976351441631319
199.3565,64,890,91.1,535,34760,-13.233789443969727,1237,0.34665435552597046,0.05296255275607109,-5.06137752532959,0.002976351441631319
204.90926,66,900,93.35,541,35800,-13.815240859985352,1289,1.1692355871200562,0.049621257930994034,-6.963763236999512,0.002976351441631319
209.30658,67,910,94.55,548,37000,-14.248357772827148,1349,1.2439335584640503,0.04604931175708771,-6.061864376068115,0.002976351441631319
213.18549,68,920,95.76,552,37840,-14.085033416748047,1391,1.4601614475250244,0.04365425556898117,-3.7204082012176514,0.002976351441631319
212.53328,69,930,96.12,557,38660,-14.909493446350098,1432,4.443427562713623,0.04170265048742294,-5.96682071685791,0.002976351441631319
220.37244,82,940,98.25,489,40160,-16.184001922607422,1507,1.4630117416381836,0.038625337183475494,-3.819394588470459,0.002976351441631319
227.24722,82,950,100.15,494,40940,-15.939929008483887,1546,3.5723252296447754,0.03757961466908455,1.6640903949737549,0.002976351441631319
229.08247,85,960,100.67,500,42600,-16.86710548400879,1629,5.697275161743164,0.03534636273980141,-4.893945693969727,0.002976351441631319
237.52252,85,970,103.15,503,43100,-17.35573959350586,1654,3.6102051734924316,0.034494347870349884,-3.322047710418701,0.002976351441631319
243.80676,87,980,105.05,511,44560,-18.59058952331543,1727,2.1963772773742676,0.03287697955965996,-2.9804534912109375,0.002976351441631319
247.00334,88,990,105.77,514,45320,-18.40397071838379,1765,1.2187210321426392,0.031866561621427536,0.2618221044540405,0.002976351441631319
249.07512,89,1000,106.19,520,46600,-19.862878799438477,1829,3.3920035362243652,0.030735116451978683,1.0233302116394043,0.002976351441631319
254.10117,91,1010,107.43,525,47860,-19.866294860839844,1892,3.745697259902954,0.030046841129660606,-1.8638324737548828,0.002976351441631319
259.50323,92,1020,108.53,529,49020,-20.105899810791016,1950,2.55930757522583,0.029691921547055244,-2.262493848800659,0.002976351441631319
264.74036,93,1030,110.43,532,49680,-21.036916732788086,1983,2.9706461429595947,0.029205335304141045,-0.8802396059036255,0.002976351441631319
