time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/episodes,train/ent_coef_loss,train/learning_rate,train/n_updates,train/ent_coef,train/critic_loss,train/actor_loss
1044,87.04,39,40840,171.37527,1090,-3.1171822547912598,0.00046415888336127773,1541,0.49901798367500305,4.746330261230469,-18.906047821044922
1042,90.59,39,41680,182.18513,1100,-3.1304521560668945,0.00046415888336127773,1583,0.49016067385673523,0.9389336109161377,-19.610509872436523
1038,94.2,41,42680,193.33232,1110,-3.052063465118408,0.00046415888336127773,1633,0.4798900783061981,3.331953525543213,-20.3875732421875
1033,93.52,42,43480,196.08928,1120,-3.160536527633667,0.00046415888336127773,1673,0.4718537926673889,2.1354663372039795,-19.995346069335938
1025,94.39,43,44400,198.59279,1130,-3.3160881996154785,0.00046415888336127773,1719,0.46269258856773376,4.289924621582031,-20.57059097290039
1022,92.8,44,45240,199.3108,1140,-3.2796950340270996,0.00046415888336127773,1761,0.4546498656272888,9.060314178466797,-21.909454345703125
1020,91.64,45,46200,197.80394,1150,-3.3006787300109863,0.00046415888336127773,1809,0.4455772042274475,5.418826103210449,-22.359296798706055
1017,90.55,46,46980,196.22125,1160,-3.248522996902466,0.00046415888336127773,1848,0.43845269083976746,2.2827744483947754,-23.292497634887695
1015,90.53,47,48000,197.2498,1170,-3.277799129486084,0.00046415888336127773,1899,0.429370254278183,11.58447551727295,-22.346052169799805
1009,90.46,48,48780,197.36063,1180,-3.4682254791259766,0.00046415888336127773,1938,0.4225192964076996,7.101252555847168,-23.30248260498047
1006,90.14,49,49720,197.06332,1190,-3.5534474849700928,0.00046415888336127773,1985,0.41444817185401917,2.304466485977173,-24.575170516967773
