time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/episodes,time/fps,time/time_elapsed,train/ent_coef_loss,train/learning_rate,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef
14980,26.48,24.849943,650,542,27,-1.7782737016677856,0.0014384498882876629,248,-5.814367294311523,0.4904021620750427,0.7008012533187866
15280,27.98,28.597557,660,546,27,-1.9091525077819824,0.0014384498882876629,263,-5.828420639038086,0.5076000690460205,0.6858992576599121
15660,29.08,30.538921,670,551,28,-2.014678716659546,0.0014384498882876629,282,-5.8490400314331055,0.5978784561157227,0.6674938201904297
16020,30.84,32.775917,680,556,28,-2.146300792694092,0.0014384498882876629,300,-6.000016689300537,0.4424188733100891,0.6505342721939087
16420,31.52,34.15569,690,561,29,-2.28555965423584,0.0014384498882876629,320,-6.1951904296875,0.4528101682662964,0.6322016716003418
16800,32.47,35.891407,700,566,29,-2.3959105014801025,0.0014384498882876629,339,-6.234794616699219,0.5318541526794434,0.6152754426002502
17180,33.76,38.95403,710,571,30,-2.542579174041748,0.0014384498882876629,358,-6.3400397300720215,0.7102826833724976,0.5988519191741943
17620,36.0,43.30572,720,576,30,-2.677243947982788,0.0014384498882876629,380,-6.345126152038574,0.8662480115890503,0.5803803205490112
18080,37.51,48.20166,730,581,31,-2.89215350151062,0.0014384498882876629,403,-6.827744960784912,0.4548117518424988,0.5617685317993164
18540,38.48,49.03162,740,586,31,-3.0344324111938477,0.0014384498882876629,426,-6.45314359664917,0.7218811511993408,0.543752133846283
19060,41.09,52.15728,750,593,32,-3.143458843231201,0.0014384498882876629,452,-6.995060443878174,0.6206879019737244,0.5241151452064514
19700,41.91,52.76139,760,600,32,-3.3743791580200195,0.0014384498882876629,484,-7.141103744506836,0.4710657596588135,0.5010644793510437
20200,43.34,55.79204,770,549,36,-3.527817726135254,0.0014384498882876629,509,-7.299407958984375,0.7596571445465088,0.4838009476661682
20580,44.01,57.385197,780,553,37,-3.5357627868652344,0.0014384498882876629,528,-7.414656639099121,0.21463294327259064,0.47104382514953613
21120,46.28,62.07521,790,559,37,-3.7520639896392822,0.0014384498882876629,555,-7.414054870605469,0.6351495981216431,0.45369672775268555
21720,48.29,66.250854,800,565,38,-4.002727508544922,0.0014384498882876629,585,-7.557074546813965,1.1311923265457153,0.43526214361190796
22360,50.46,68.29043,810,570,39,-4.234340190887451,0.0014384498882876629,617,-8.29758071899414,0.7049211859703064,0.41633886098861694
22680,50.93,70.03709,820,572,39,-4.369043827056885,0.0014384498882876629,633,-8.139741897583008,0.6320958137512207,0.40731728076934814
23240,50.51,69.96463,830,575,40,-4.510379791259766,0.0014384498882876629,661,-8.455545425415039,0.7128378748893738,0.39198794960975647
23660,52.53,74.76999,840,578,40,-4.508092403411865,0.0014384498882876629,682,-8.225496292114258,1.123775839805603,0.3809407651424408
24180,51.55,75.91562,850,578,41,-4.251847267150879,0.0014384498882876629,708,-8.484960556030273,0.9800211787223816,0.36775290966033936
24680,50.27,76.22117,860,580,42,-4.5009050369262695,0.0014384498882876629,733,-9.111886978149414,0.9461823105812073,0.3556612730026245
25100,49.82,75.2355,870,580,43,-4.369435787200928,0.0014384498882876629,754,-9.145395278930664,1.4294148683547974,0.345767080783844
25720,51.16,81.5716,880,583,44,-4.9397735595703125,0.0014384498882876629,785,-9.544297218322754,0.5888118743896484,0.3318779766559601
26260,51.41,83.2152,890,586,44,-5.0592851638793945,0.0014384498882876629,812,-8.966126441955566,1.3915586471557617,0.3203125596046448
27500,53.5,90.19029,900,590,46,-4.766902446746826,0.0014384498882876629,874,-9.907654762268066,1.0746220350265503,0.29547518491744995
28140,57.49,103.53199,910,592,47,-5.192817687988281,0.0014384498882876629,906,-10.476309776306152,1.2336417436599731,0.2837827801704407
29240,60.84,114.25284,920,598,48,-5.0975494384765625,0.0014384498882876629,961,-10.776365280151367,0.7603508234024048,0.26463818550109863
29660,64.33,123.94964,930,600,49,-5.520918846130371,0.0014384498882876629,982,-11.223258972167969,0.7473036050796509,0.2578396201133728
30920,66.41,132.03336,940,531,58,-5.418493747711182,0.0014384498882876629,1045,-12.005631446838379,0.5764615535736084,0.23868677020072937
31440,71.27,145.56476,950,534,58,-5.055909156799316,0.0014384498882876629,1071,-12.420037269592285,0.970732569694519,0.2313782274723053
32600,75.41,157.047,960,541,60,-5.330356121063232,0.0014384498882876629,1129,-12.403006553649902,2.1085100173950195,0.21598464250564575
33080,79.15,167.96973,970,544,60,-5.37065315246582,0.0014384498882876629,1153,-12.409172058105469,2.2953379154205322,0.21005438268184662
34260,81.52,175.01186,980,550,62,-5.617266654968262,0.0014384498882876629,1212,-12.647805213928223,1.7283680438995361,0.19594816863536835
34820,84.82,184.69942,990,553,62,-5.1077775955200195,0.0014384498882876629,1240,-13.737695693969727,1.3811850547790527,0.18963517248630524
35960,85.74,187.78621,1000,555,64,-4.4149675369262695,0.0014384498882876629,1297,-14.080970764160156,3.0756678581237793,0.17811574041843414
36460,84.01,185.06105,1010,558,65,-6.438998222351074,0.0014384498882876629,1322,-14.4395751953125,1.409246802330017,0.17337775230407715
37660,84.07,185.42883,1020,564,66,-4.939837455749512,0.0014384498882876629,1382,-15.913877487182617,1.9774746894836426,0.16244111955165863
38140,84.37,186.62651,1030,567,67,-5.245004653930664,0.0014384498882876629,1406,-15.92159652709961,1.5265698432922363,0.1583968997001648
39400,84.85,187.95367,1040,575,68,-5.624632358551025,0.0014384498882876629,1469,-17.263444900512695,0.8529508709907532,0.1484447717666626
39880,84.8,187.41,1050,578,68,-5.137175559997559,0.0014384498882876629,1493,-16.85145378112793,3.7019028663635254,0.14488963782787323
41140,84.9,186.29071,1060,527,77,-5.555136680603027,0.0014384498882876629,1556,-17.019981384277344,2.3304405212402344,0.1362079530954361
41540,85.02,185.8006,1070,529,78,-5.009805679321289,0.0014384498882876629,1576,-17.632427215576172,0.4723011553287506,0.13339319825172424
42780,85.14,184.81726,1080,535,79,-6.3273539543151855,0.0014384498882876629,1638,-17.95406150817871,1.9862780570983887,0.12518136203289032
43280,85.18,184.12743,1090,538,80,-6.154023170471191,0.0014384498882876629,1663,-18.627777099609375,3.963759422302246,0.12197981029748917
44500,85.2,183.66882,1100,544,81,-4.546953201293945,0.0014384498882876629,1724,-18.96425437927246,5.003775596618652,0.11449327319860458
45040,85.85,184.97832,1110,546,82,-4.486095428466797,0.0014384498882876629,1751,-20.71871566772461,1.2444982528686523,0.1114288941025734
46320,85.97,184.69774,1120,552,83,-4.388090133666992,0.0014384498882876629,1815,-20.287582397460938,0.8612186908721924,0.10465702414512634
46860,86.54,185.33043,1130,555,84,-4.575697898864746,0.0014384498882876629,1842,-20.662561416625977,2.6195240020751953,0.10198114067316055
48120,86.52,184.83386,1140,561,85,-4.674099922180176,0.0014384498882876629,1905,-21.391845703125,3.675401210784912,0.09600498527288437
48620,86.74,184.59291,1150,563,86,-5.409152030944824,0.0014384498882876629,1930,-21.48982810974121,1.5123374462127686,0.0938146635890007
49900,86.8,184.3529,1160,570,87,-5.541354179382324,0.0014384498882876629,1994,-22.642105102539062,3.5057451725006104,0.08822713792324066
